"id","frame","x [nm]","y [nm]","intensity [photon]","uncertainty_xy [nm]"
134,22,37504,26900.2,4570.02,5.24865
135,22,47439.3,27198.8,3510.49,6.62988
136,22,45498.9,27430.4,3354.99,6.90547
137,22,25040.6,27970.1,2938.95,7.78533
138,22,29554.3,29546,2623.3,8.63817
139,22,21000.4,29897.4,1358.36,16.0161
140,22,32353.8,32467.8,4889.74,4.94858
141,22,3387.73,33843.2,3374.14,6.87017
142,22,35520.1,34046.5,2193.33,10.1932
143,22,24809,34734.3,3337.58,6.93791
144,22,43877.6,34997.5,2513.63,8.9844
145,22,23505.4,34919.1,5150.85,4.73089
146,22,48352.2,35057.2,3024.25,7.58531
147,22,46888.9,35278.5,4200.99,5.65124
148,22,2637.01,36098.8,3606.23,6.47196
149,22,1728.92,37316.6,1547.52,14.1474
150,22,4974.5,37638.1,3199.48,7.20769
151,22,5864.62,40434.5,3949.16,5.96878
152,22,3753.44,42351.6,4040.26,5.84937
153,22,49588.9,42399.6,2831.6,8.05411
154,22,5852.22,44406.5,3359.63,6.89687
155,22,35674.9,45160.5,3193.68,7.21954
156,22,4086.94,45414.3,4136.58,5.7288
157,22,27268.1,45666.1,2196.23,10.1806
158,22,40482.7,46180.4,1801.09,12.2573
159,22,28269.2,47219.5,3522.68,6.6093
160,22,5956.89,48740.9,8307.4,3.17135
161,23,46366.2,599.273,3629.44,6.43492
162,23,22410.5,846.602,6295.1,3.9877
163,23,6771.26,1108.42,5351.62,4.5778
164,23,36691.9,2258.34,3382.84,6.85426
165,23,33296.7,2458.65,3654.4,6.39563
166,23,9736.35,3502.51,2818.26,8.08895
167,23,38054.2,4228.43,4470.22,5.35102
168,23,43893.5,5436.08,3737.37,6.26871
169,23,32360.9,5467.82,4276.42,5.56334
170,23,12344.3,6888.97,3131.59,7.349
171,23,7709.64,7530.1,11152.9,2.51136
172,23,31482.4,9306.47,4098.28,5.77606
173,23,2128.86,9364.98,3583.02,6.50947
174,23,15410.1,10975.1,2612.85,8.6699
175,23,2169.75,13548.9,3227.91,7.15027
176,23,15825.8,13995.8,2441.1,9.23043
177,23,13757.8,14303.4,3963.09,5.95017
178,23,10638,16407.9,5454.32,4.50379
179,23,5754.16,17138.4,2941.27,7.77973
180,23,23746.4,17735.9,4194.6,5.65882
181,23,8492,18392.9,2110.94,10.5633
182,23,18374.7,18625.7,1860.85,11.8868
183,23,1278.82,18995.9,7602.98,3.40886
184,23,22385.2,21241.9,1740.16,12.6613
185,23,42496.1,21633.5,2695.25,8.42626
186,23,39903.4,22027.7,5613.31,4.39451
187,23,49313.2,25215.3,2868.16,7.96033
188,23,37499,26907.8,4929.78,4.91372
189,23,47433.4,27202,3654.4,6.39563
190,23,45513.3,27413.2,3471.62,6.69647
191,23,25019,28010.3,2981.89,7.68321
192,23,29521.2,29531,2622.72,8.63993
193,23,21000.8,29876.5,1390.85,15.659
194,23,32360.9,32485,4935.58,4.90871
195,23,3379.96,33851.8,3339.9,6.93356
196,23,35492.3,34100.7,2285.59,9.81036
197,23,24816.5,34726.6,3252.28,7.10185
198,23,43874.2,35003.3,2549.6,8.86755
199,23,23495.8,34916.8,5351.62,4.5778
200,23,48344.4,35063.1,3207.6,7.19118
201,23,46891.4,35259.1,4382.02,5.44534
202,23,2640.14,36121.4,3622.48,6.44598
203,23,1706.39,37313.3,1709.99,12.872
204,23,4958.9,37653.9,2890.21,7.9049
205,23,5866.8,40416.1,3935.23,5.98751
206,23,3741.29,42323.3,3910.86,6.02062
207,23,49619.7,42371.6,2775.9,8.20174
208,23,5824.09,44394.1,3296.38,7.01603
209,23,35677.7,45158.6,3335.26,6.94226
210,23,4085.18,45401.9,3932.33,5.99143
211,23,27293.5,45653.3,2006.49,11.076
212,23,40453.5,46192.1,1906.11,11.6216
213,23,28264.1,47227.5,3670.64,6.37033
