Distance_(pixels),Gray_Value,X_Fit:_Gaussian,Fit:_Gaussian
,,1.30130,36109.750
,,1.30631,36174.941
,,1.31131,36240.012
,,1.31632,36304.957
,,1.32132,36369.781
,,1.32633,36434.477
,,1.33133,36499.039
,,1.33634,36563.469
,,1.34134,36627.762
,,1.34635,36691.918
,,1.35135,36755.934
,,1.35636,36819.801
,,1.36136,36883.523
,,1.36637,36947.098
,,1.37137,37010.520
,,1.37638,37073.785
,,1.38138,37136.891
,,1.38639,37199.840
,,1.39139,37262.625
,,1.39640,37325.242
,,1.40140,37387.691
,,1.40641,37449.973
,,1.41141,37512.078
,,1.41642,37574.008
,,1.42142,37635.758
,,1.42643,37697.324
,,1.43143,37758.707
,,1.43644,37819.906
,,1.44144,37880.910
,,1.44645,37941.727
,,1.45145,38002.344
,,1.45646,38062.766
,,1.46146,38122.984
,,1.46647,38183.004
,,1.47147,38242.812
,,1.47648,38302.414
,,1.48148,38361.809
,,1.48649,38420.984
,,1.49149,38479.945
,,1.49650,38538.688
,,1.50150,38597.207
,,1.50651,38655.504
,,1.51151,38713.574
,,1.51652,38771.410
,,1.52152,38829.020
,,1.52653,38886.391
,,1.53153,38943.523
,,1.53654,39000.418
,,1.54154,39057.070
,,1.54655,39113.477
,,1.55155,39169.633
,,1.55656,39225.539
,,1.56156,39281.195
,,1.56657,39336.594
,,1.57157,39391.734
,,1.57658,39446.613
,,1.58158,39501.230
,,1.58659,39555.582
,,1.59159,39609.664
,,1.59660,39663.477
,,1.60160,39717.016
,,1.60661,39770.277
,,1.61161,39823.262
,,1.61662,39875.965
,,1.62162,39928.383
,,1.62663,39980.516
,,1.63163,40032.363
,,1.63664,40083.918
,,1.64164,40135.180
,,1.64665,40186.145
,,1.65165,40236.812
,,1.65666,40287.184
,,1.66166,40337.246
,,1.66667,40387.008
,,1.67167,40436.461
,,1.67668,40485.602
,,1.68168,40534.430
,,1.68669,40582.945
,,1.69169,40631.145
,,1.69670,40679.023
,,1.70170,40726.582
,,1.70671,40773.816
,,1.71171,40820.723
,,1.71672,40867.301
,,1.72172,40913.551
,,1.72673,40959.465
,,1.73173,41005.047
,,1.73674,41050.289
