Distance_(pixels),Gray_Value,X_Fit:_Gaussian,Fit:_Gaussian
0,21971.637,0.00000,20607.107
1,30030.166,0.00501,20638.314
2,39881.027,0.01001,20669.703
3,39382.832,0.01502,20701.271
4,25742.188,0.02002,20733.021
5,18124.500,0.02503,20764.951
,,0.03003,20797.064
,,0.03504,20829.357
,,0.04004,20861.834
,,0.04505,20894.492
,,0.05005,20927.332
,,0.05506,20960.355
,,0.06006,20993.562
,,0.06507,21026.955
,,0.07007,21060.529
,,0.07508,21094.287
,,0.08008,21128.232
,,0.08509,21162.359
,,0.09009,21196.672
,,0.09510,21231.172
,,0.10010,21265.855
,,0.10511,21300.725
,,0.11011,21335.779
,,0.11512,21371.021
,,0.12012,21406.449
,,0.12513,21442.062
,,0.13013,21477.863
,,0.13514,21513.852
,,0.14014,21550.027
,,0.14515,21586.389
,,0.15015,21622.939
,,0.15516,21659.676
,,0.16016,21696.602
,,0.16517,21733.715
,,0.17017,21771.016
,,0.17518,21808.504
,,0.18018,21846.180
,,0.18519,21884.045
,,0.19019,21922.100
,,0.19520,21960.342
,,0.20020,21998.771
,,0.20521,22037.391
,,0.21021,22076.199
,,0.21522,22115.195
,,0.22022,22154.381
,,0.22523,22193.754
,,0.23023,22233.316
,,0.23524,22273.068
,,0.24024,22313.010
,,0.24525,22353.139
,,0.25025,22393.455
,,0.25526,22433.963
,,0.26026,22474.658
,,0.26527,22515.541
,,0.27027,22556.613
,,0.27528,22597.875
,,0.28028,22639.322
,,0.28529,22680.961
,,0.29029,22722.785
,,0.29530,22764.799
,,0.30030,22807.002
,,0.30531,22849.391
,,0.31031,22891.969
,,0.31532,22934.732
,,0.32032,22977.684
,,0.32533,23020.824
,,0.33033,23064.150
,,0.33534,23107.662
,,0.34034,23151.363
,,0.34535,23195.248
,,0.35035,23239.320
,,0.35536,23283.578
,,0.36036,23328.021
,,0.36537,23372.650
,,0.37037,23417.465
,,0.37538,23462.465
,,0.38038,23507.648
,,0.38539,23553.016
,,0.39039,23598.566
,,0.39540,23644.303
,,0.40040,23690.221
,,0.40541,23736.322
,,0.41041,23782.605
,,0.41542,23829.070
,,0.42042,23875.719
,,0.42543,23922.547
,,0.43043,23969.557
,,0.43544,24016.748
,,0.44044,24064.117
,,0.44545,24111.668
,,0.45045,24159.396
,,0.45546,24207.305
,,0.46046,24255.391
,,0.46547,24303.654
,,0.47047,24352.094
,,0.47548,24400.711
,,0.48048,24449.506
,,0.48549,24498.475
,,0.49049,24547.617
,,0.49550,24596.936
,,0.50050,24646.428
,,0.50551,24696.094
,,0.51051,24745.932
,,0.51552,24795.941
,,0.52052,24846.123
,,0.52553,24896.477
,,0.53053,24946.998
,,0.53554,24997.689
,,0.54054,25048.551
,,0.54555,25099.578
,,0.55055,25150.775
,,0.55556,25202.137
,,0.56056,25253.664
,,0.56557,25305.357
,,0.57057,25357.215
,,0.57558,25409.236
,,0.58058,25461.420
,,0.58559,25513.766
,,0.59059,25566.271
,,0.59560,25618.939
,,0.60060,25671.766
,,0.60561,25724.750
,,0.61061,25777.895
,,0.61562,25831.193
,,0.62062,25884.648
,,0.62563,25938.260
,,0.63063,25992.025
,,0.63564,26045.943
,,0.64064,26100.012
,,0.64565,26154.234
,,0.65065,26208.607
,,0.65566,26263.127
,,0.66066,26317.797
,,0.66567,26372.613
,,0.67067,26427.576
,,0.67568,26482.686
,,0.68068,26537.938
,,0.68569,26593.334
,,0.69069,26648.871
,,0.69570,26704.549
,,0.70070,26760.367
,,0.70571,26816.324
,,0.71071,26872.420
,,0.71572,26928.650
,,0.72072,26985.018
,,0.72573,27041.518
,,0.73073,27098.150
,,0.73574,27154.916
,,0.74074,27211.812
,,0.74575,27268.838
,,0.75075,27325.990
,,0.75576,27383.270
,,0.76076,27440.676
,,0.76577,27498.205
,,0.77077,27555.857
,,0.77578,27613.631
,,0.78078,27671.525
,,0.78579,27729.539
,,0.79079,27787.670
,,0.79580,27845.918
,,0.80080,27904.279
,,0.80581,27962.756
,,0.81081,28021.344
,,0.81582,28080.043
,,0.82082,28138.850
,,0.82583,28197.766
,,0.83083,28256.789
,,0.83584,28315.916
,,0.84084,28375.146
,,0.84585,28434.479
,,0.85085,28493.912
,,0.85586,28553.443
,,0.86086,28613.074
,,0.86587,28672.799
,,0.87087,28732.619
,,0.87588,28792.531
,,0.88088,28852.535
,,0.88589,28912.629
,,0.89089,28972.811
,,0.89590,29033.078
,,0.90090,29093.430
,,0.90591,29153.865
,,0.91091,29214.383
,,0.91592,29274.980
,,0.92092,29335.656
,,0.92593,29396.408
,,0.93093,29457.234
,,0.93594,29518.133
,,0.94094,29579.105
,,0.94595,29640.145
,,0.95095,29701.254
,,0.95596,29762.430
,,0.96096,29823.668
,,0.96597,29884.969
,,0.97097,29946.332
,,0.97598,30007.752
,,0.98098,30069.230
,,0.98599,30130.764
,,0.99099,30192.352
,,0.99600,30253.990
,,1.00100,30315.678
,,1.00601,30377.414
,,1.01101,30439.197
,,1.01602,30501.023
,,1.02102,30562.893
,,1.02603,30624.801
,,1.03103,30686.748
,,1.03604,30748.732
,,1.04104,30810.752
,,1.04605,30872.803
,,1.05105,30934.883
,,1.05606,30996.994
,,1.06106,31059.131
,,1.06607,31121.291
,,1.07107,31183.475
,,1.07608,31245.680
,,1.08108,31307.902
,,1.08609,31370.143
,,1.09109,31432.396
