Freq (Hz)	PSD/Measured Spectrum: Power CH2 (Vrms/rtHz)	Freq Response Module (Vrms)	Freq Response Im part (Unitless Power)
5.000000E+0	1.728288E-2	1.455234E+0	-8.772274E-1
5.162500E+0	1.558653E-2	1.993595E+0	-1.463737E+0
5.325000E+0	1.824623E-2	2.666820E+0	-1.534583E+0
5.487500E+0	2.014034E-2	3.233167E+0	-2.261539E+0
5.650000E+0	1.765848E-2	2.846513E+0	-1.758713E+0
5.812500E+0	1.724605E-2	3.724807E+0	-1.810177E+0
5.975000E+0	1.770923E-2	3.023903E+0	-1.831927E+0
6.137500E+0	1.662016E-2	3.163789E+0	-1.449525E+0
6.300000E+0	1.859611E-2	3.377209E+0	-1.617348E+0
6.462500E+0	1.922038E-2	2.843577E+0	-1.235499E+0
6.625000E+0	1.823693E-2	3.111511E+0	-1.699516E+0
6.787500E+0	1.848479E-2	2.985015E+0	-1.775372E+0
6.950000E+0	1.610886E-2	3.227110E+0	-1.730676E+0
7.112500E+0	1.778648E-2	3.128290E+0	-1.863472E+0
7.275000E+0	2.133154E-2	3.266460E+0	-1.992389E+0
7.437500E+0	1.798679E-2	3.049427E+0	-1.868560E+0
7.600000E+0	1.993125E-2	3.290615E+0	-2.211652E+0
7.762500E+0	2.198379E-2	3.047312E+0	-2.253104E+0
7.925000E+0	2.171127E-2	3.341640E+0	-2.357172E+0
8.087500E+0	2.286781E-2	3.260095E+0	-2.576131E+0
8.250000E+0	2.275081E-2	3.211802E+0	-2.724373E+0
8.412500E+0	2.271812E-2	3.491974E+0	-3.045570E+0
8.575000E+0	2.530908E-2	3.627453E+0	-3.071377E+0
8.737500E+0	2.459100E-2	3.347811E+0	-3.028775E+0
8.900000E+0	2.179297E-2	3.627840E+0	-3.141709E+0
9.062500E+0	2.944137E-2	3.687637E+0	-3.354974E+0
9.225000E+0	2.778459E-2	3.595789E+0	-3.548899E+0
9.387500E+0	2.727882E-2	3.892797E+0	-3.836056E+0
9.550000E+0	3.332215E-2	3.709760E+0	-3.704029E+0
9.712500E+0	2.959506E-2	3.543470E+0	-3.507329E+0
9.875000E+0	3.080206E-2	3.819269E+0	-3.725296E+0
1.003750E+1	2.859861E-2	3.445840E+0	-3.288904E+0
1.020000E+1	3.036813E-2	3.726646E+0	-3.372942E+0
1.036250E+1	2.596575E-2	3.739601E+0	-3.448420E+0
1.052500E+1	3.173597E-2	3.870525E+0	-3.195098E+0
1.068750E+1	2.931832E-2	3.730505E+0	-3.274937E+0
1.085000E+1	2.816224E-2	3.444306E+0	-3.021889E+0
1.101250E+1	2.310755E-2	2.663885E+0	-2.083898E+0
1.117500E+1	2.918215E-2	2.331755E+0	-1.844459E+0
1.133750E+1	2.440770E-2	2.202991E+0	-1.755636E+0
1.150000E+1	2.487493E-2	1.942149E+0	-1.687700E+0
