Freq (Hz)	PSD/Measured Spectrum: Power CH2 (Vrms/rtHz)	Freq Response Module (Vrms)	Freq Response Im part (Unitless Power)
5.000000E+0	3.389734E-2	2.733297E+0	3.494060E-1
5.162500E+0	3.366703E-2	2.715179E+0	-7.726706E-2
5.325000E+0	3.224549E-2	2.328062E+0	1.840573E+0
5.487500E+0	3.440408E-2	2.287892E+0	8.852130E-2
5.650000E+0	4.087024E-2	2.510771E+0	9.456664E-1
5.812500E+0	3.226448E-2	1.757720E+0	-6.142244E-1
5.975000E+0	3.457665E-2	3.353308E+0	-2.592607E+0
6.137500E+0	3.857297E-2	4.170951E+0	-2.329221E+0
6.300000E+0	3.673599E-2	5.123195E+0	-2.073786E+0
6.462500E+0	3.395583E-2	3.766198E+0	-1.240944E+0
6.625000E+0	3.211444E-2	3.806846E+0	-2.590143E+0
6.787500E+0	4.058362E-2	3.148952E+0	-3.034418E+0
6.950000E+0	3.591880E-2	3.939985E+0	-3.614714E+0
7.112500E+0	4.905630E-2	3.975981E+0	-3.638710E+0
7.275000E+0	3.825815E-2	5.055681E+0	-4.970648E+0
7.437500E+0	4.270391E-2	4.558928E+0	-4.520462E+0
7.600000E+0	4.504786E-2	5.130233E+0	-5.113519E+0
7.762500E+0	4.296341E-2	5.104661E+0	-5.065295E+0
7.925000E+0	4.613288E-2	4.320775E+0	-4.141617E+0
8.087500E+0	5.277565E-2	4.925887E+0	-4.501653E+0
8.250000E+0	5.076899E-2	4.164231E+0	-3.623754E+0
8.412500E+0	5.046407E-2	3.408894E+0	-2.347826E+0
8.575000E+0	4.947680E-2	4.229275E+0	-1.495122E+0
8.737500E+0	4.378020E-2	3.750498E+0	-2.450431E+0
8.900000E+0	4.312822E-2	3.048908E+0	-2.705706E+0
9.062500E+0	3.687129E-2	3.642451E+0	-3.574396E+0
9.225000E+0	4.480590E-2	5.588632E+0	-5.550390E+0
9.387500E+0	3.791626E-2	5.844412E+0	-5.837460E+0
9.550000E+0	4.625366E-2	5.633897E+0	-4.879315E+0
9.712500E+0	4.635894E-2	5.975703E+0	-4.686054E+0
9.875000E+0	4.036115E-2	6.610119E+0	-5.302845E+0
1.003750E+1	3.978001E-2	5.327247E+0	-3.437990E+0
1.020000E+1	4.268094E-2	5.924307E+0	-2.869210E+0
1.036250E+1	3.612222E-2	5.015413E+0	-2.895766E+0
1.052500E+1	3.053819E-2	4.403639E+0	-2.712407E+0
1.068750E+1	3.193375E-2	3.473011E+0	-2.233765E+0
1.085000E+1	3.345902E-2	3.809384E+0	-2.879541E+0
1.101250E+1	2.457305E-2	4.607627E+0	-3.592556E+0
1.117500E+1	2.781388E-2	4.537081E+0	-2.628718E+0
1.133750E+1	2.673733E-2	5.142005E+0	-3.341918E+0
1.150000E+1	2.486215E-2	4.828830E+0	-2.743304E+0
1.166250E+1	2.549178E-2	4.264786E+0	-2.149739E+0
1.182500E+1	2.363347E-2	3.876553E+0	-1.799650E+0
1.198750E+1	2.086966E-2	3.515558E+0	-1.186791E+0
1.215000E+1	2.340942E-2	3.488820E+0	-2.040057E+0
1.231250E+1	2.167094E-2	3.610624E+0	-2.350094E+0
1.247500E+1	1.967485E-2	3.416398E+0	-2.345576E+0
1.263750E+1	2.135563E-2	4.014763E+0	-2.507286E+0
1.280000E+1	1.970736E-2	4.389692E+0	-2.155601E+0
1.296250E+1	1.902814E-2	5.007709E+0	-1.686124E+0
1.312500E+1	1.823813E-2	4.594150E+0	-1.535647E+0
1.328750E+1	1.730203E-2	3.800395E+0	-9.955100E-1
1.345000E+1	1.649802E-2	3.656916E+0	-1.110720E+0
1.361250E+1	1.702411E-2	3.000522E+0	-1.099917E+0
1.377500E+1	1.890114E-2	3.478245E+0	-1.636023E+0
1.393750E+1	1.927312E-2	4.132655E+0	-1.691684E+0
1.410000E+1	1.724372E-2	4.408237E+0	-1.393534E+0
1.426250E+1	1.716488E-2	3.966496E+0	-1.067731E+0
1.442500E+1	1.636641E-2	3.471383E+0	-6.726872E-1
1.458750E+1	1.693839E-2	3.008724E+0	-5.216482E-1
1.475000E+1	2.003495E-2	2.767843E+0	-8.196593E-1
1.491250E+1	2.019921E-2	2.379293E+0	-9.819191E-1
1.507500E+1	1.946397E-2	3.225704E+0	-1.211999E+0
1.523750E+1	1.888412E-2	2.852567E+0	-7.909151E-1
1.540000E+1	1.958538E-2	2.285216E+0	-5.863948E-1
1.556250E+1	1.929048E-2	2.393938E+0	-6.161406E-1
1.572500E+1	1.910681E-2	1.818291E+0	-6.002500E-2
1.588750E+1	1.918898E-2	1.999393E+0	-2.267919E-1
1.605000E+1	2.036818E-2	2.048316E+0	-6.490986E-1
1.621250E+1	1.386808E-2	2.129741E+0	-3.709119E-1
1.637500E+1	1.816550E-2	1.832975E+0	-6.719342E-1
1.653750E+1	1.399987E-2	1.746747E+0	-4.540282E-1
1.670000E+1	1.257422E-2	2.149811E+0	-1.065170E+0
1.686250E+1	1.453387E-2	2.506115E+0	-9.208999E-1
1.702500E+1	1.450735E-2	2.200313E+0	-5.793998E-1
1.718750E+1	1.076454E-2	2.055468E+0	-1.953783E-1
1.735000E+1	1.210467E-2	1.664291E+0	-1.682289E-1
1.751250E+1	1.130242E-2	1.563191E+0	-9.007805E-1
1.767500E+1	1.200442E-2	1.817734E+0	-7.863789E-1
1.783750E+1	9.453003E-3	1.689742E+0	-4.825315E-1
1.800000E+1	9.018299E-3	1.561442E+0	-2.640212E-2
1.816250E+1	8.775668E-3	9.965786E-1	-6.411828E-2
1.832500E+1	1.248599E-2	1.207500E+0	-3.852880E-1
1.848750E+1	1.241678E-2	1.608715E+0	-3.868831E-1
