Distance_(pixels),Gray_Value,X_Fit:_Gaussian,Fit:_Gaussian
,,2.33333,29720.941
,,2.34234,29822.980
,,2.35135,29925.164
,,2.36036,30027.490
,,2.36937,30129.949
,,2.37838,30232.539
,,2.38739,30335.252
,,2.39640,30438.084
,,2.40541,30541.031
,,2.41441,30644.082
,,2.42342,30747.236
,,2.43243,30850.482
,,2.44144,30953.822
,,2.45045,31057.242
,,2.45946,31160.744
,,2.46847,31264.314
,,2.47748,31367.953
,,2.48649,31471.650
,,2.49550,31575.402
,,2.50450,31679.199
,,2.51351,31783.041
,,2.52252,31886.914
,,2.53153,31990.820
,,2.54054,32094.746
,,2.54955,32198.691
,,2.55856,32302.643
,,2.56757,32406.602
,,2.57658,32510.555
,,2.58559,32614.500
,,2.59459,32718.428
,,2.60360,32822.336
,,2.61261,32926.215
,,2.62162,33030.055
,,2.63063,33133.855
,,2.63964,33237.605
,,2.64865,33341.301
,,2.65766,33444.934
,,2.66667,33548.500
,,2.67568,33651.984
,,2.68468,33755.391
,,2.69369,33858.707
,,2.70270,33961.926
,,2.71171,34065.039
,,2.72072,34168.047
,,2.72973,34270.934
,,2.73874,34373.699
,,2.74775,34476.332
,,2.75676,34578.828
,,2.76577,34681.176
,,2.77477,34783.375
,,2.78378,34885.410
,,2.79279,34987.281
,,2.80180,35088.980
,,2.81081,35190.496
,,2.81982,35291.828
,,2.82883,35392.961
,,2.83784,35493.891
,,2.84685,35594.613
,,2.85586,35695.117
,,2.86486,35795.398
,,2.87387,35895.449
,,2.88288,35995.258
,,2.89189,36094.824
,,2.90090,36194.137
,,2.90991,36293.188
,,2.91892,36391.973
,,2.92793,36490.480
,,2.93694,36588.707
,,2.94595,36686.645
,,2.95495,36784.285
,,2.96396,36881.621
,,2.97297,36978.645
,,2.98198,37075.352
,,2.99099,37171.730
,,3.00000,37267.777
,,3.00901,37363.484
,,3.01802,37458.840
,,3.02703,37553.844
,,3.03604,37648.480
,,3.04505,37742.750
,,3.05405,37836.641
,,3.06306,37930.148
,,3.07207,38023.262
,,3.08108,38115.980
,,3.09009,38208.289
,,3.09910,38300.184
,,3.10811,38391.656
,,3.11712,38482.703
,,3.12613,38573.312
,,3.13514,38663.480
,,3.14414,38753.195
,,3.15315,38842.457
,,3.16216,38931.250
,,3.17117,39019.574
,,3.18018,39107.422
,,3.18919,39194.781
,,3.19820,39281.648
,,3.20721,39368.016
,,3.21622,39453.875
,,3.22523,39539.223
,,3.23423,39624.047
,,3.24324,39708.344
,,3.25225,39792.109
,,3.26126,39875.328
,,3.27027,39958.000
,,3.27928,40040.117
,,3.28829,40121.672
,,3.29730,40202.656
,,3.30631,40283.066
,,3.31532,40362.891
,,3.32432,40442.129
,,3.33333,40520.770
,,3.34234,40598.809
,,3.35135,40676.234
,,3.36036,40753.051
,,3.36937,40829.238
,,3.37838,40904.801
,,3.38739,40979.727
,,3.39640,41054.016
,,3.40541,41127.652
,,3.41441,41200.633
,,3.42342,41272.957
,,3.43243,41344.613
,,3.44144,41415.594
,,3.45045,41485.898
,,3.45946,41555.516
,,3.46847,41624.441
,,3.47748,41692.672
,,3.48649,41760.199
,,3.49550,41827.016
,,3.50450,41893.117
,,3.51351,41958.500
,,3.52252,42023.156
,,3.53153,42087.082
,,3.54054,42150.266
,,3.54955,42212.711
,,3.55856,42274.402
,,3.56757,42335.344
,,3.57658,42395.523
,,3.58559,42454.941
,,3.59459,42513.586
,,3.60360,42571.453
,,3.61261,42628.547
,,3.62162,42684.848
,,3.63063,42740.363
,,3.63964,42795.078
,,3.64865,42848.996
,,3.65766,42902.109
,,3.66667,42954.410
,,3.67568,43005.898
,,3.68468,43056.566
,,3.69369,43106.410
,,3.70270,43155.426
,,3.71171,43203.609
,,3.72072,43250.957
,,3.72973,43297.461
,,3.73874,43343.117
,,3.74775,43387.926
,,3.75676,43431.883
,,3.76577,43474.980
,,3.77477,43517.215
,,3.78378,43558.586
,,3.79279,43599.086
,,3.80180,43638.715
,,3.81081,43677.465
,,3.81982,43715.336
,,3.82883,43752.320
,,3.83784,43788.422
,,3.84685,43823.633
,,3.85586,43857.949
,,3.86486,43891.367
,,3.87387,43923.887
,,3.88288,43955.504
,,3.89189,43986.215
,,3.90090,44016.020
,,3.90991,44044.910
,,3.91892,44072.887
,,3.92793,44099.949
,,3.93694,44126.094
,,3.94595,44151.312
,,3.95495,44175.609
,,3.96396,44198.984
,,3.97297,44221.426
,,3.98198,44242.938
,,3.99099,44263.520
,,4.00000,44283.168
,,4.00901,44301.879
,,4.01802,44319.652
,,4.02703,44336.488
,,4.03604,44352.379
,,4.04504,44367.332
,,4.05405,44381.340
,,4.06306,44394.402
,,4.07207,44406.520
,,4.08108,44417.688
,,4.09009,44427.910
,,4.09910,44437.180
,,4.10811,44445.504
,,4.11712,44452.875
,,4.12613,44459.293
,,4.13514,44464.762
,,4.14414,44469.273
,,4.15315,44472.836
,,4.16216,44475.441
,,4.17117,44477.098
,,4.18018,44477.797
,,4.18919,44477.543
,,4.19820,44476.336
,,4.20721,44474.176
,,4.21622,44471.059
,,4.22523,44466.992
,,4.23423,44461.973
,,4.24324,44455.996
,,4.25225,44449.070
,,4.26126,44441.195
,,4.27027,44432.367
,,4.27928,44422.590
,,4.28829,44411.867
,,4.29730,44400.191
,,4.30631,44387.574
,,4.31532,44374.008
,,4.32432,44359.496
,,4.33333,44344.043
,,4.34234,44327.648
,,4.35135,44310.316
,,4.36036,44292.043
,,4.36937,44272.832
,,4.37838,44252.691
,,4.38739,44231.613
,,4.39640,44209.605
,,4.40541,44186.668
,,4.41441,44162.801
,,4.42342,44138.016
,,4.43243,44112.301
,,4.44144,44085.672
,,4.45045,44058.121
,,4.45946,44029.656
,,4.46847,44000.281
,,4.47748,43969.992
,,4.48649,43938.801
,,4.49550,43906.703
,,4.50450,43873.703
,,4.51351,43839.809
,,4.52252,43805.016
,,4.53153,43769.332
,,4.54054,43732.758
,,4.54955,43695.301
,,4.55856,43656.965
,,4.56757,43617.746
,,4.57658,43577.652
,,4.58559,43536.688
,,4.59459,43494.859
,,4.60360,43452.164
,,4.61261,43408.609
,,4.62162,43364.199
,,4.63063,43318.938
,,4.63964,43272.828
,,4.64865,43225.875
,,4.65766,43178.086
,,4.66667,43129.461
,,4.67568,43080.000
,,4.68468,43029.719
,,4.69369,42978.617
,,4.70270,42926.695
,,4.71171,42873.961
,,4.72072,42820.418
,,4.72973,42766.074
,,4.73874,42710.934
,,4.74775,42655.000
,,4.75676,42598.277
,,4.76577,42540.773
,,4.77477,42482.488
,,4.78378,42423.434
,,4.79279,42363.609
,,4.80180,42303.027
,,4.81081,42241.680
,,4.81982,42179.590
,,4.82883,42116.750
,,4.83784,42053.172
,,4.84685,41988.855
,,4.85586,41923.816
,,4.86486,41858.051
,,4.87387,41791.566
,,4.88288,41724.371
,,4.89189,41656.469
,,4.90090,41587.867
,,4.90991,41518.574
,,4.91892,41448.590
,,4.92793,41377.922
,,4.93694,41306.582
,,4.94595,41234.574
,,4.95496,41161.895
,,4.96396,41088.566
,,4.97297,41014.586
,,4.98198,40939.957
,,4.99099,40864.691
,,5.00000,40788.793
,,5.00901,40712.273
,,5.01802,40635.129
,,5.02703,40557.375
,,5.03604,40479.016
,,5.04504,40400.059
,,5.05405,40320.504
,,5.06306,40240.367
,,5.07207,40159.652
,,5.08108,40078.363
,,5.09009,39996.508
,,5.09910,39914.098
,,5.10811,39831.133
,,5.11712,39747.625
,,5.12613,39663.574
,,5.13514,39578.996
,,5.14414,39493.895
,,5.15315,39408.273
,,5.16216,39322.141
,,5.17117,39235.508
,,5.18018,39148.379
,,5.18919,39060.762
,,5.19820,38972.656
,,5.20721,38884.082
,,5.21622,38795.039
,,5.22523,38705.531
,,5.23423,38615.574
,,5.24324,38525.172
,,5.25225,38434.332
,,5.26126,38343.055
,,5.27027,38251.355
,,5.27928,38159.242
,,5.28829,38066.719
,,5.29730,37973.785
,,5.30631,37880.461
,,5.31532,37786.750
,,5.32432,37692.660
,,5.33333,37598.188
,,5.34234,37503.359
,,5.35135,37408.168
,,5.36036,37312.625
,,5.36937,37216.734
,,5.37838,37120.512
,,5.38739,37023.957
,,5.39640,36927.082
,,5.40541,36829.887
,,5.41441,36732.391
,,5.42342,36634.594
,,5.43243,36536.496
,,5.44144,36438.117
