"id","frame","x [nm]","y [nm]","intensity [photon]","uncertainty_xy [nm]"
134,22,20931.3,29473.7,1586.4,13.8184
135,22,32312,32039.9,3601.01,6.48036
136,22,3276.19,33452.6,3248.22,7.10987
137,22,35564.3,33714.5,1506.32,14.5144
138,22,24812.2,34373.1,2933.73,7.79795
139,22,43815.5,34593.2,2385.4,9.4295
140,22,23428.5,34532.9,4131.94,5.73448
141,22,48310.1,34659.3,3197.16,7.21242
142,22,46922,34824.2,4955.89,4.89128
143,22,2614.83,35736.2,2714.98,8.37012
144,22,1690.78,36907.5,1463.38,14.919
145,22,4908.39,37244,2691.19,8.43793
146,22,5844.77,40034.1,2650.57,8.5565
147,22,3657.54,41929.7,3115.35,7.38372
148,22,5879.71,44048.7,2235.11,10.0159
149,22,35631.5,44787.9,2444,9.22031
150,22,3959.77,44962.7,3155.38,7.29879
151,22,27220.8,45226.9,1977.48,11.228
152,22,40467.3,45781.3,1340.37,16.2213
153,22,28266.8,46792,1497.62,14.5946
154,22,5871.85,48342.5,5615.63,4.39296
155,23,6672,671.105,3794.81,6.18407
156,23,36683.1,1812.28,3062.54,7.49911
157,23,33349.2,2048.47,3348.02,6.9184
158,23,9668.96,3119.44,2730.06,8.32773
159,23,38061,3819.82,3391.54,6.83842
160,23,43889.5,5023.34,3518.04,6.61713
161,23,32311.3,5041.24,3451.89,6.73084
162,23,12342.3,6433.42,2562.37,8.82688
163,23,7734.23,7097.34,7843.2,3.32317
164,23,31470.2,8915.03,3013.22,7.61053
165,23,2012.91,8981.82,2497.38,9.03828
166,23,15346.7,10576.8,2596.02,8.72155
167,23,2209.79,13082.8,2504.93,9.01318
168,23,15778.7,13552.1,2606.47,8.68941
169,23,13769.9,13882.8,3013.8,7.6092
170,23,10609,16011.3,3484.38,6.67444
171,23,5748.97,16675.3,2460.83,9.16208
172,23,23684.7,17320.7,4115.69,5.75447
173,23,8477.12,17956.4,2232.21,10.028
174,23,18344.5,18226.9,2061.04,10.8018
175,23,1210.64,18625.5,5617.37,4.3918
176,23,22318.2,20841.7,1583.49,13.8424
177,23,42510.4,21258.9,2554.83,8.85086
178,23,39860.3,21530.1,4529.99,5.28918
179,23,49274.1,24774.4,2693.51,8.43126
180,23,37453,26482.7,4158.05,5.70268
181,23,47497.2,26825.7,2921.54,7.82758
182,23,45538.3,27023.3,2882.09,7.92523
183,23,24995.4,27575,3121.73,7.37004
184,23,29452.6,29068.9,2428.33,9.27524
185,23,20927.7,29481.8,1448.88,15.0611
186,23,32307,32024.1,3609.72,6.46637
187,23,3272.49,33464.1,3218.05,7.17008
188,23,35516.1,33689.4,1495.88,14.6107
189,23,24812.1,34360.4,3187.88,7.23142
190,23,43824.1,34591.7,1996.05,11.1302
191,23,23434.5,34541,3952.06,5.96489
192,23,48310.7,34668.1,3166.41,7.27578
193,23,46931.8,34819.7,5046.99,4.81481
194,23,2619.37,35723.7,2465.47,9.14615
195,23,1686.54,36918.5,1435.53,15.1943
196,23,4914.86,37236.2,2815.94,8.09504
197,23,5864.53,40039.9,2549.6,8.86755
198,23,3663.38,41907.5,3067.19,7.48881
199,23,5861.33,44057,2077.86,10.7201
200,23,35652.9,44794.3,2265.28,9.89196
201,23,3965.25,44952.3,2818.84,8.08743
202,23,27252,45250.4,1885.22,11.7424
203,23,40472.5,45780.6,1426.83,15.2826
204,23,28277,46802.9,1462.8,14.9246
205,23,5890.11,48327.3,5341.75,4.58505
206,41,6681.55,703.746,4148.77,5.71394
207,41,36680.9,1830.79,3037.01,7.55634
208,41,33345.4,2036.99,3448.41,6.73694
209,41,9658.21,3107.55,2861.2,7.97801
210,41,38073,3814.77,3492.51,6.66051
211,41,43896.1,5006.45,3338.74,6.93573
212,41,32303.6,4990.32,3462.91,6.71159
213,41,12332.4,6404.97,2988.85,7.66693
214,41,7724.57,7078.41,7973.17,3.27892
215,41,31463.8,8906.9,3088.07,7.44283
216,41,2025.49,8965.69,2655.79,8.54105
217,41,15360.9,10545.2,2941.85,7.77834
218,41,2213,13084.3,2818.84,8.08743
219,41,15766.4,13529.6,2718.46,8.36029
220,41,13771.1,13856.1,3248.22,7.10987
221,41,10633.2,16019.5,3591.73,6.49535
222,41,5739.12,16654.7,2779.38,8.19234
223,41,23713.9,17308.7,4442.95,5.37979
224,41,8466.17,17958.5,2300.1,9.75295
225,41,18327.3,18247.1,2022.74,10.9927
226,41,1262.69,18609.4,5838.44,4.24981
227,41,22361.7,20852.3,1560.86,14.0326
228,41,42504.6,21270.9,2616.91,8.65753
229,41,39855.2,21540.8,4585.69,5.23298
230,41,49312.8,24795.5,2996.98,7.64803
231,41,37458.6,26484.2,4495.75,5.3244
232,41,47497.2,26841.8,3142.62,7.32564
233,41,45539.1,27005.5,2972.02,7.70641
234,41,24993.1,27569.9,3082.27,7.45554
235,41,29450.8,29087.3,2355.22,9.54125
236,41,20940.3,29461.2,1712.31,12.8555
237,41,32309.7,32020.7,3600.43,6.48129
238,41,3304.55,33460.8,3325.98,6.95972
239,41,35515.9,33711.1,1602.64,13.6857
240,41,24781,34379.3,3392.7,6.83632
241,41,43836.1,34579.5,2220.02,10.0792
242,41,23446.1,34509.5,4284.54,5.55406
243,41,48295.4,34660.4,3240.68,7.12482
244,41,46925.5,34813.6,4741.2,5.08301
245,41,2603.8,35740.8,2916.9,7.83893
246,41,1724.86,36938.8,1406.52,15.4927
247,41,4900.71,37255.5,2798.53,8.14106
248,41,5894.68,40032.7,2680.16,8.46976
249,41,3636.14,41905,3302.19,7.00491
250,41,5867.44,44048.5,2174.19,10.2767
251,41,35637.7,44803.4,2271.09,9.86849
252,41,3981.51,44945.6,3011.48,7.61453
253,41,27253,45256.5,1918.88,11.549
254,41,40457.3,45794.3,1449.46,15.0553
255,41,28272.5,46792.4,1523.73,14.3569
256,41,5875.52,48327.8,5330.15,4.59363
257,42,6678.24,679.473,4357.65,5.47207
258,42,36703.1,1815.95,3138.56,7.33422
259,42,33348.5,2047.9,3275.49,7.0564
260,42,9687.75,3114.02,2893.11,7.89767
261,42,38056.2,3813.42,3623.64,6.44414
262,42,43899.4,5010.48,3422.3,6.78312
263,42,32323.3,5034.78,3783.79,6.20012
264,42,12342.8,6430.74,2814.2,8.09962
265,42,7733.53,7071.59,8201.21,3.2046
266,42,31487.3,8882.6,3028.31,7.57606
