Imposed Vibration Voltage - Volt	Average Gamma X - Unitless	Average Gamma S - Unitless	Step Time - Second	null 5	null 6	null 7	
1.90000000E+0	0.00000000E+0	1.51058364E-1	5.98239899E-3	0.00000000E+0	0.00000000E+0	0.00000000E+0
1.80000000E+0	0.00000000E+0	1.50165289E-1	3.41605495E+2	0.00000000E+0	0.00000000E+0	0.00000000E+0
1.70000000E+0	0.00000000E+0	1.48500108E-1	4.82291581E+2	0.00000000E+0	0.00000000E+0	0.00000000E+0
1.60000000E+0	0.00000000E+0	1.45984522E-1	3.41527894E+2	0.00000000E+0	0.00000000E+0	0.00000000E+0
1.50000000E+0	0.00000000E+0	1.45656606E-1	3.42929497E+2	0.00000000E+0	0.00000000E+0	0.00000000E+0
1.40000000E+0	0.00000000E+0	1.45477306E-1	3.41824991E+2	0.00000000E+0	0.00000000E+0	0.00000000E+0
1.30000000E+0	0.00000000E+0	1.45207791E-1	3.41518849E+2	0.00000000E+0	0.00000000E+0	0.00000000E+0
1.20000000E+0	0.00000000E+0	1.45297402E-1	3.46227904E+2	0.00000000E+0	0.00000000E+0	0.00000000E+0
1.10000000E+0	0.00000000E+0	1.45728290E-1	3.40830349E+2	0.00000000E+0	0.00000000E+0	0.00000000E+0
1.00000000E+0	0.00000000E+0	1.45319937E-1	3.41880522E+2	0.00000000E+0	0.00000000E+0	0.00000000E+0
9.00000000E-1	0.00000000E+0	1.45364790E-1	3.41145911E+2	0.00000000E+0	0.00000000E+0	0.00000000E+0
8.00000000E-1	0.00000000E+0	1.45343172E-1	3.41563841E+2	0.00000000E+0	0.00000000E+0	0.00000000E+0
7.00000000E-1	0.00000000E+0	1.45509879E-1	3.41663642E+2	0.00000000E+0	0.00000000E+0	0.00000000E+0
6.00000000E-1	0.00000000E+0	1.45294491E-1	3.42685459E+2	0.00000000E+0	0.00000000E+0	0.00000000E+0
5.00000000E-1	0.00000000E+0	1.45120708E-1	3.41777178E+2	0.00000000E+0	0.00000000E+0	0.00000000E+0
4.00000000E-1	0.00000000E+0	1.45420402E-1	3.41777982E+2	0.00000000E+0	0.00000000E+0	0.00000000E+0
3.00000000E-1	0.00000000E+0	1.45573080E-1	2.00016745E+3	0.00000000E+0	0.00000000E+0	0.00000000E+0
2.00000000E-1	0.00000000E+0	1.45933521E-1	3.41478617E+2	0.00000000E+0	0.00000000E+0	0.00000000E+0
1.00000000E-1	0.00000000E+0	1.46169020E-1	3.41530116E+2	0.00000000E+0	0.00000000E+0	0.00000000E+0
-2.22044605E-16	0.00000000E+0	1.45243438E-1	3.42185462E+2	0.00000000E+0	0.00000000E+0	0.00000000E+0
