Freq (Hz)	PSD/Measured Spectrum: Power CH2 (Vrms/rtHz)	Freq Response Module (Vrms)	Freq Response Im part (Unitless Power)
5.000000E+0	1.155905E-2	3.545402E-1	5.378041E-2
5.162500E+0	1.111894E-2	8.065786E-1	-6.882552E-1
5.325000E+0	9.729322E-3	9.493582E-1	-5.961670E-1
5.487500E+0	1.215213E-2	8.854262E-1	-5.788877E-1
5.650000E+0	1.287914E-2	1.026845E+0	-8.143409E-1
5.812500E+0	1.038715E-2	1.442412E+0	-1.127490E+0
5.975000E+0	1.142233E-2	9.700229E-1	-7.383286E-1
6.137500E+0	1.196519E-2	1.373218E+0	-9.613004E-1
6.300000E+0	1.168763E-2	1.442879E+0	-9.579585E-1
6.462500E+0	1.228528E-2	1.407644E+0	-4.778062E-1
6.625000E+0	1.097606E-2	1.308086E+0	-8.354011E-1
6.787500E+0	1.234919E-2	1.460911E+0	-9.290625E-1
6.950000E+0	1.176047E-2	1.313601E+0	-7.029458E-1
7.112500E+0	1.220347E-2	1.395907E+0	-7.806865E-1
7.275000E+0	1.053540E-2	1.573109E+0	-8.065091E-1
7.437500E+0	1.057912E-2	1.512058E+0	-8.788027E-1
7.600000E+0	1.099967E-2	1.337612E+0	-8.860544E-1
7.762500E+0	1.262439E-2	1.513148E+0	-9.710211E-1
7.925000E+0	1.104466E-2	1.689242E+0	-9.139870E-1
8.087500E+0	1.138363E-2	1.442283E+0	-7.252899E-1
8.250000E+0	1.269238E-2	1.264223E+0	-8.217878E-1
8.412500E+0	1.290964E-2	1.567642E+0	-1.287799E+0
8.575000E+0	1.258988E-2	1.867687E+0	-1.354842E+0
8.737500E+0	1.393413E-2	1.780898E+0	-1.143320E+0
8.900000E+0	1.367095E-2	1.650142E+0	-1.147531E+0
9.062500E+0	1.369865E-2	1.788358E+0	-1.452126E+0
9.225000E+0	1.288569E-2	1.897951E+0	-1.369144E+0
9.387500E+0	9.940543E-3	1.764857E+0	-1.452589E+0
9.550000E+0	1.319822E-2	1.866832E+0	-1.590551E+0
9.712500E+0	1.146718E-2	2.109377E+0	-1.937979E+0
9.875000E+0	1.461621E-2	1.691035E+0	-1.429613E+0
1.003750E+1	1.487312E-2	1.379752E+0	-1.169261E+0
1.020000E+1	1.344063E-2	1.424702E+0	-1.330869E+0
1.036250E+1	1.068189E-2	1.917693E+0	-1.753705E+0
1.052500E+1	1.375623E-2	1.710111E+0	-1.335684E+0
1.068750E+1	1.334438E-2	1.578832E+0	-1.478677E+0
1.085000E+1	1.239553E-2	1.844939E+0	-1.809848E+0
1.101250E+1	1.445398E-2	1.837370E+0	-1.837294E+0
1.117500E+1	1.447755E-2	2.263811E+0	-2.243731E+0
1.133750E+1	1.432963E-2	1.814411E+0	-1.780360E+0
1.150000E+1	1.309760E-2	2.021669E+0	-2.010695E+0
1.166250E+1	1.339300E-2	1.943725E+0	-1.934889E+0
1.182500E+1	1.328482E-2	1.522992E+0	-1.519006E+0
1.198750E+1	1.406654E-2	1.345064E+0	-1.337429E+0
1.215000E+1	1.342885E-2	1.178122E+0	-1.166824E+0
1.231250E+1	1.511868E-2	1.291560E+0	-1.240340E+0
1.247500E+1	1.460969E-2	9.187837E-1	-8.814728E-1
1.263750E+1	1.524525E-2	1.385769E+0	-1.283979E+0
1.280000E+1	1.335184E-2	1.205810E+0	-1.186130E+0
1.296250E+1	1.351251E-2	1.645887E+0	-1.595709E+0
1.312500E+1	1.318364E-2	1.294211E+0	-1.167344E+0
1.328750E+1	1.332057E-2	1.793030E+0	-1.621677E+0
1.345000E+1	1.248218E-2	1.687163E+0	-1.595298E+0
1.361250E+1	1.261136E-2	1.586104E+0	-1.429678E+0
1.377500E+1	1.380894E-2	1.723232E+0	-1.546761E+0
1.393750E+1	1.168644E-2	1.621091E+0	-1.426611E+0
1.410000E+1	1.312905E-2	1.559808E+0	-1.440209E+0
1.426250E+1	1.302193E-2	1.718578E+0	-1.529387E+0
1.442500E+1	1.163849E-2	1.156834E+0	-1.020621E+0
1.458750E+1	1.149898E-2	1.209408E+0	-9.449181E-1
1.475000E+1	1.288891E-2	1.326523E+0	-9.868492E-1
1.491250E+1	1.089528E-2	1.278911E+0	-9.580954E-1
1.507500E+1	1.350505E-2	1.364890E+0	-1.178879E+0
1.523750E+1	1.456503E-2	1.262850E+0	-8.125445E-1
1.540000E+1	1.209361E-2	1.060566E+0	-5.806900E-1
1.556250E+1	1.680172E-2	1.776740E+0	-9.942789E-1
1.572500E+1	1.681452E-2	1.437967E+0	-8.649413E-1
1.588750E+1	1.636183E-2	9.660161E-1	-3.017685E-1
1.605000E+1	1.743278E-2	9.867752E-1	-3.906259E-1
1.621250E+1	1.316585E-2	1.016508E+0	-3.792320E-1
1.637500E+1	1.321787E-2	7.912830E-1	-3.533376E-1
1.653750E+1	1.208574E-2	8.062607E-1	-3.486864E-1
1.670000E+1	1.107041E-2	7.305877E-1	-5.089010E-1
1.686250E+1	1.172391E-2	8.618346E-1	-3.983831E-1
1.702500E+1	9.729856E-3	9.283463E-1	-5.720539E-1
1.718750E+1	1.193389E-2	9.059940E-1	-5.946725E-1
1.735000E+1	1.115074E-2	7.365680E-1	-4.281561E-1
1.751250E+1	8.322137E-3	5.905993E-1	-3.598441E-1
1.767500E+1	9.250336E-3	7.905028E-1	-4.962763E-1
1.783750E+1	9.154500E-3	6.107298E-1	-3.782469E-1
1.800000E+1	7.185704E-3	7.414666E-1	-3.322530E-1
1.816250E+1	7.508762E-3	5.199142E-1	-3.568653E-1
1.832500E+1	7.462401E-3	6.346956E-1	-2.797389E-1
1.848750E+1	8.737350E-3	5.654789E-1	-3.433213E-1
1.865000E+1	7.163600E-3	5.860179E-1	-2.805458E-1
1.881250E+1	6.387222E-3	5.928597E-1	-3.498268E-1
1.897500E+1	7.684955E-3	4.755712E-1	-2.034900E-1
1.913750E+1	5.760989E-3	6.984904E-1	-1.310610E-1
1.930000E+1	6.511106E-3	7.953836E-1	-1.878147E-1
1.946250E+1	6.492550E-3	3.666714E-1	-1.602959E-1
1.962500E+1	6.485282E-3	3.388388E-1	-1.133951E-1
1.978750E+1	6.967079E-3	6.019405E-1	-4.261793E-1
1.995000E+1	6.728727E-3	6.758403E-1	-3.409179E-1
2.011250E+1	7.218700E-3	6.613508E-1	-2.403538E-1
2.027500E+1	6.389399E-3	5.455338E-1	-8.841214E-2
2.043750E+1	6.467461E-3	3.859397E-1	-1.838032E-1
2.060000E+1	6.985825E-3	3.304595E-1	-2.915477E-1
2.076250E+1	6.390294E-3	4.978882E-1	-3.997792E-1
2.092500E+1	6.825941E-3	6.118681E-1	-1.900705E-1
2.108750E+1	4.770003E-3	4.174886E-1	-8.790114E-2
2.125000E+1	5.049135E-3	3.395025E-1	-1.909123E-1
2.141250E+1	4.566044E-3	3.989440E-1	-2.034505E-1
2.157500E+1	5.858066E-3	3.919652E-1	-1.714147E-1
2.173750E+1	5.064562E-3	4.431572E-1	-1.196616E-1
2.190000E+1	4.925611E-3	3.716822E-1	-8.940852E-2
2.206250E+1	4.831767E-3	3.456187E-1	-1.580444E-2
2.222500E+1	4.554471E-3	3.280045E-1	-1.558850E-1
2.238750E+1	4.614006E-3	4.640408E-1	-3.089994E-1
2.255000E+1	4.935176E-3	5.231991E-1	-2.187461E-1
2.271250E+1	5.193869E-3	4.601329E-1	-4.149620E-2
2.287500E+1	4.400358E-3	3.613227E-1	6.250531E-3
2.303750E+1	4.005283E-3	2.522196E-1	-4.520205E-2
2.320000E+1	3.561920E-3	2.714344E-1	-1.113541E-1
2.336250E+1	3.874736E-3	3.651888E-1	-7.108264E-2
2.352500E+1	3.702569E-3	3.400575E-1	-9.957907E-2
2.368750E+1	4.539470E-3	3.158206E-1	-3.006479E-2
2.385000E+1	4.206572E-3	3.046010E-1	-1.091671E-1
2.401250E+1	4.081868E-3	3.062236E-1	-7.492852E-2
2.417500E+1	3.985993E-3	3.163378E-1	-1.794730E-2
2.433750E+1	4.479515E-3	3.113031E-1	-6.667442E-2
2.450000E+1	3.695842E-3	3.162774E-1	-8.008616E-2
2.466250E+1	4.029336E-3	3.691336E-1	-8.372279E-2
2.482500E+1	2.865164E-3	3.392471E-1	-6.694523E-2
2.498750E+1	3.551568E-3	3.086993E-1	-2.508404E-3
2.515000E+1	3.508811E-3	2.790530E-1	-6.604560E-2
2.531250E+1	3.956987E-3	3.952898E-1	-1.269266E-1
2.547500E+1	3.065723E-3	3.218087E-1	-1.264908E-1
2.563750E+1	2.907525E-3	3.076300E-1	-3.426881E-2
2.580000E+1	2.785668E-3	3.396122E-1	-9.551220E-2
2.596250E+1	3.136555E-3	3.039546E-1	-5.295714E-2
