Freq (Hz)	PSD/Measured Spectrum: Power CH2 (Vrms/rtHz)	Freq Response Module (Vrms)	Freq Response Im part (Unitless Power)
1.000000E+1	8.280748E-3	2.734287E+0	-1.842506E+0
1.011250E+1	1.063162E-2	3.401538E+0	-2.329605E+0
1.022500E+1	1.025755E-2	1.899281E+0	-1.175835E+0
1.033750E+1	1.035593E-2	2.610627E+0	-2.379317E+0
1.045000E+1	1.044101E-2	3.231699E+0	-2.634747E+0
1.056250E+1	8.393535E-3	2.768835E+0	-2.272512E+0
1.067500E+1	1.137928E-2	2.597801E+0	-2.316117E+0
1.078750E+1	1.402021E-2	3.390011E+0	-2.591487E+0
1.090000E+1	1.041915E-2	2.741584E+0	-2.093331E+0
1.101250E+1	1.176327E-2	3.050262E+0	-2.536817E+0
1.112500E+1	1.046226E-2	2.949891E+0	-2.459166E+0
1.123750E+1	1.011460E-2	3.353744E+0	-2.945616E+0
1.135000E+1	1.498402E-2	3.824228E+0	-3.167318E+0
1.146250E+1	1.282077E-2	3.535770E+0	-2.564941E+0
1.157500E+1	1.101602E-2	3.098455E+0	-2.268149E+0
1.168750E+1	1.292319E-2	2.994757E+0	-2.634975E+0
1.180000E+1	1.147673E-2	3.264524E+0	-2.906427E+0
1.191250E+1	1.294951E-2	3.388527E+0	-2.965693E+0
1.202500E+1	1.193229E-2	3.371318E+0	-3.152257E+0
1.213750E+1	1.094137E-2	3.417507E+0	-3.250697E+0
1.225000E+1	1.189132E-2	3.711946E+0	-3.554570E+0
1.236250E+1	1.216509E-2	4.159555E+0	-3.989381E+0
1.247500E+1	1.090046E-2	4.361509E+0	-4.180135E+0
1.258750E+1	1.326502E-2	4.297241E+0	-3.981525E+0
1.270000E+1	1.289196E-2	3.960411E+0	-3.724217E+0
1.281250E+1	1.278267E-2	4.101151E+0	-3.839702E+0
1.292500E+1	1.187171E-2	3.868671E+0	-3.729643E+0
1.303750E+1	1.375891E-2	3.673116E+0	-3.388573E+0
1.315000E+1	1.134172E-2	3.514504E+0	-3.319769E+0
1.326250E+1	1.368624E-2	2.677991E+0	-2.620553E+0
1.337500E+1	1.029579E-2	2.728823E+0	-2.656914E+0
1.348750E+1	1.295188E-2	2.733994E+0	-2.719720E+0
1.360000E+1	1.392103E-2	3.310711E+0	-3.296919E+0
1.371250E+1	1.044043E-2	2.948710E+0	-2.946663E+0
1.382500E+1	1.183144E-2	3.020573E+0	-3.019676E+0
1.393750E+1	1.398342E-2	2.870124E+0	-2.852577E+0
1.405000E+1	1.441291E-2	3.341962E+0	-3.298629E+0
1.416250E+1	1.236512E-2	2.832557E+0	-2.797904E+0
1.427500E+1	1.232061E-2	2.668865E+0	-2.574065E+0
1.438750E+1	1.428957E-2	2.600813E+0	-2.551282E+0
1.450000E+1	1.343847E-2	2.946140E+0	-2.936878E+0
1.461250E+1	1.330604E-2	3.012817E+0	-3.011952E+0
1.472500E+1	1.370422E-2	3.140674E+0	-3.140652E+0
1.483750E+1	1.290494E-2	3.673448E+0	-3.673440E+0
1.495000E+1	1.302106E-2	3.480786E+0	-3.455059E+0
1.506250E+1	1.405155E-2	3.578410E+0	-3.559821E+0
1.517500E+1	1.428449E-2	3.536865E+0	-3.478368E+0
1.528750E+1	1.582540E-2	3.434449E+0	-3.267784E+0
1.540000E+1	1.685120E-2	3.327058E+0	-3.016757E+0
1.551250E+1	1.837946E-2	3.038253E+0	-2.865579E+0
1.562500E+1	1.573277E-2	2.719159E+0	-2.466461E+0
1.573750E+1	1.727693E-2	3.068753E+0	-2.764487E+0
1.585000E+1	1.558800E-2	3.200179E+0	-2.827863E+0
1.596250E+1	2.014001E-2	2.987907E+0	-2.674244E+0
1.607500E+1	1.584867E-2	3.067289E+0	-2.641736E+0
1.618750E+1	1.322037E-2	2.984020E+0	-2.479786E+0
1.630000E+1	1.152749E-2	2.722116E+0	-2.194551E+0
1.641250E+1	1.507745E-2	2.579944E+0	-2.257018E+0
1.652500E+1	1.301099E-2	2.462219E+0	-2.223537E+0
1.663750E+1	1.057703E-2	2.684915E+0	-2.437212E+0
1.675000E+1	1.307606E-2	2.225280E+0	-1.970594E+0
1.686250E+1	1.277471E-2	2.315379E+0	-1.823864E+0
1.697500E+1	1.195772E-2	2.503438E+0	-1.890610E+0
1.708750E+1	1.163459E-2	2.087696E+0	-1.489700E+0
1.720000E+1	1.120029E-2	2.364680E+0	-1.510823E+0
1.731250E+1	1.168718E-2	2.204564E+0	-1.692198E+0
1.742500E+1	9.851217E-3	1.961988E+0	-1.505964E+0
1.753750E+1	9.928881E-3	2.090570E+0	-1.583138E+0
1.765000E+1	9.179842E-3	1.724262E+0	-1.229564E+0
1.776250E+1	1.097478E-2	1.855092E+0	-1.282319E+0
1.787500E+1	1.018764E-2	1.712732E+0	-1.026479E+0
1.798750E+1	9.302287E-3	1.877148E+0	-1.194601E+0
1.810000E+1	9.428989E-3	2.031534E+0	-1.405849E+0
1.821250E+1	9.678900E-3	1.587288E+0	-1.100807E+0
1.832500E+1	9.931263E-3	1.696248E+0	-1.335750E+0
1.843750E+1	9.260627E-3	1.669999E+0	-1.342093E+0
1.855000E+1	8.711733E-3	1.655747E+0	-1.269282E+0
1.866250E+1	1.070622E-2	1.581023E+0	-1.085071E+0
1.877500E+1	1.001900E-2	1.373782E+0	-7.481697E-1
1.888750E+1	8.168556E-3	1.465759E+0	-1.031225E+0
1.900000E+1	6.391408E-3	1.549435E+0	-1.229955E+0
1.911250E+1	6.751718E-3	1.827937E+0	-1.441347E+0
1.922500E+1	8.299185E-3	1.621484E+0	-1.319666E+0
1.933750E+1	7.608861E-3	1.320829E+0	-7.506070E-1
1.945000E+1	8.640231E-3	1.502556E+0	-9.438288E-1
1.956250E+1	7.374298E-3	1.728606E+0	-1.203522E+0
1.967500E+1	6.378224E-3	1.918193E+0	-1.022721E+0
1.978750E+1	7.221407E-3	1.977337E+0	-9.228046E-1
1.990000E+1	6.887149E-3	1.637780E+0	-3.788697E-1
