Distance_(pixels),Gray_Value,X_Fit:_Gaussian,Fit:_Gaussian
,,2.33333,30828.016
,,2.34234,30940.668
,,2.35135,31053.449
,,2.36036,31166.361
,,2.36937,31279.391
,,2.37838,31392.535
,,2.38739,31505.783
,,2.39640,31619.133
,,2.40541,31732.576
,,2.41441,31846.100
,,2.42342,31959.707
,,2.43243,32073.381
,,2.44144,32187.123
,,2.45045,32300.918
,,2.45946,32414.768
,,2.46847,32528.656
,,2.47748,32642.582
,,2.48649,32756.533
,,2.49550,32870.508
,,2.50450,32984.492
,,2.51351,33098.484
,,2.52252,33212.473
,,2.53153,33326.453
,,2.54054,33440.414
,,2.54955,33554.355
,,2.55856,33668.258
,,2.56757,33782.125
,,2.57658,33895.938
,,2.58559,34009.699
,,2.59459,34123.395
,,2.60360,34237.020
,,2.61261,34350.566
,,2.62162,34464.023
,,2.63063,34577.383
,,2.63964,34690.641
,,2.64865,34803.785
,,2.65766,34916.809
,,2.66667,35029.707
,,2.67568,35142.469
,,2.68468,35255.086
,,2.69369,35367.547
,,2.70270,35479.852
,,2.71171,35591.980
,,2.72072,35703.938
,,2.72973,35815.707
,,2.73874,35927.285
,,2.74775,36038.656
,,2.75676,36149.816
,,2.76577,36260.758
,,2.77477,36371.473
,,2.78378,36481.949
,,2.79279,36592.184
,,2.80180,36702.164
,,2.81081,36811.879
,,2.81982,36921.328
,,2.82883,37030.496
,,2.83784,37139.379
,,2.84685,37247.961
,,2.85586,37356.242
,,2.86486,37464.207
,,2.87387,37571.855
,,2.88288,37679.168
,,2.89189,37786.148
,,2.90090,37892.773
,,2.90991,37999.047
,,2.91892,38104.957
,,2.92793,38210.492
,,2.93694,38315.645
,,2.94595,38420.406
,,2.95495,38524.770
,,2.96396,38628.727
,,2.97297,38732.266
,,2.98198,38835.383
,,2.99099,38938.062
,,3.00000,39040.305
,,3.00901,39142.094
,,3.01802,39243.422
,,3.02703,39344.289
,,3.03604,39444.672
,,3.04505,39544.578
,,3.05405,39643.984
,,3.06306,39742.895
,,3.07207,39841.289
,,3.08108,39939.172
,,3.09009,40036.523
,,3.09910,40133.340
,,3.10811,40229.613
,,3.11712,40325.336
,,3.12613,40420.496
,,3.13514,40515.094
,,3.14414,40609.109
,,3.15315,40702.539
,,3.16216,40795.379
,,3.17117,40887.617
,,3.18018,40979.242
,,3.18919,41070.254
,,3.19820,41160.637
,,3.20721,41250.391
,,3.21622,41339.500
,,3.22523,41427.957
,,3.23423,41515.762
,,3.24324,41602.895
,,3.25225,41689.359
,,3.26126,41775.141
,,3.27027,41860.234
,,3.27928,41944.629
,,3.28829,42028.324
,,3.29730,42111.305
,,3.30631,42193.566
,,3.31532,42275.098
,,3.32432,42355.898
,,3.33333,42435.957
,,3.34234,42515.266
,,3.35135,42593.820
,,3.36036,42671.609
,,3.36937,42748.625
,,3.37838,42824.867
,,3.38739,42900.320
,,3.39640,42974.984
,,3.40541,43048.848
,,3.41441,43121.906
,,3.42342,43194.152
,,3.43243,43265.578
,,3.44144,43336.180
,,3.45045,43405.945
,,3.45946,43474.871
,,3.46847,43542.953
,,3.47748,43610.184
,,3.48649,43676.551
,,3.49550,43742.059
,,3.50450,43806.691
,,3.51351,43870.449
,,3.52252,43933.324
,,3.53153,43995.309
,,3.54054,44056.398
,,3.54955,44116.586
,,3.55856,44175.867
,,3.56757,44234.234
,,3.57658,44291.688
,,3.58559,44348.215
,,3.59459,44403.812
,,3.60360,44458.477
,,3.61261,44512.199
,,3.62162,44564.977
,,3.63063,44616.809
,,3.63964,44667.680
,,3.64865,44717.594
,,3.65766,44766.543
,,3.66667,44814.523
,,3.67568,44861.531
,,3.68468,44907.559
,,3.69369,44952.602
,,3.70270,44996.656
,,3.71171,45039.723
,,3.72072,45081.789
,,3.72973,45122.859
,,3.73874,45162.922
,,3.74775,45201.977
,,3.75676,45240.023
,,3.76577,45277.051
,,3.77477,45313.059
,,3.78378,45348.043
,,3.79279,45382.004
,,3.80180,45414.934
,,3.81081,45446.832
,,3.81982,45477.691
,,3.82883,45507.516
,,3.83784,45536.297
,,3.84685,45564.031
,,3.85586,45590.719
,,3.86486,45616.355
,,3.87387,45640.941
,,3.88288,45664.469
,,3.89189,45686.941
,,3.90090,45708.355
,,3.90991,45728.707
,,3.91892,45747.992
,,3.92793,45766.215
,,3.93694,45783.367
,,3.94595,45799.453
,,3.95495,45814.465
,,3.96396,45828.406
,,3.97297,45841.273
,,3.98198,45853.066
,,3.99099,45863.781
,,4.00000,45873.422
,,4.00901,45881.980
,,4.01802,45889.465
,,4.02703,45895.867
,,4.03604,45901.188
,,4.04504,45905.426
,,4.05405,45908.586
,,4.06306,45910.664
,,4.07207,45911.660
,,4.08108,45911.574
,,4.09009,45910.406
,,4.09910,45908.152
,,4.10811,45904.820
,,4.11712,45900.410
,,4.12613,45894.914
,,4.13514,45888.340
,,4.14414,45880.684
,,4.15315,45871.953
,,4.16216,45862.141
,,4.17117,45851.254
,,4.18018,45839.289
,,4.18919,45826.250
,,4.19820,45812.137
,,4.20721,45796.953
,,4.21622,45780.695
,,4.22523,45763.371
,,4.23423,45744.980
,,4.24324,45725.523
,,4.25225,45705.004
,,4.26126,45683.418
,,4.27027,45660.777
,,4.27928,45637.078
,,4.28829,45612.328
,,4.29730,45586.520
,,4.30631,45559.664
,,4.31532,45531.762
,,4.32432,45502.816
,,4.33333,45472.828
,,4.34234,45441.801
,,4.35135,45409.738
,,4.36036,45376.645
,,4.36937,45342.516
,,4.37838,45307.367
,,4.38739,45271.195
,,4.39640,45234.008
,,4.40541,45195.797
,,4.41441,45156.582
,,4.42342,45116.359
,,4.43243,45075.129
,,4.44144,45032.898
,,4.45045,44989.676
,,4.45946,44945.465
,,4.46847,44900.262
,,4.47748,44854.078
,,4.48649,44806.914
,,4.49550,44758.781
,,4.50450,44709.676
,,4.51351,44659.609
,,4.52252,44608.582
,,4.53153,44556.602
,,4.54054,44503.668
,,4.54955,44449.793
,,4.55856,44394.980
,,4.56757,44339.234
,,4.57658,44282.559
,,4.58559,44224.961
,,4.59459,44166.449
,,4.60360,44107.020
,,4.61261,44046.688
,,4.62162,43985.453
,,4.63063,43923.328
,,4.63964,43860.312
,,4.64865,43796.414
,,4.65766,43731.641
,,4.66667,43665.996
,,4.67568,43599.484
,,4.68468,43532.121
,,4.69369,43463.906
,,4.70270,43394.844
,,4.71171,43324.941
,,4.72072,43254.211
,,4.72973,43182.652
,,4.73874,43110.277
,,4.74775,43037.086
,,4.75676,42963.098
,,4.76577,42888.309
,,4.77477,42812.727
,,4.78378,42736.359
,,4.79279,42659.219
,,4.80180,42581.309
,,4.81081,42502.629
,,4.81982,42423.203
,,4.82883,42343.027
,,4.83784,42262.109
,,4.84685,42180.457
,,4.85586,42098.078
,,4.86486,42014.984
,,4.87387,41931.180
,,4.88288,41846.668
,,4.89189,41761.469
,,4.90090,41675.578
,,4.90991,41589.008
,,4.91892,41501.762
,,4.92793,41413.852
,,4.93694,41325.289
,,4.94595,41236.078
,,4.95496,41146.223
,,4.96396,41055.738
,,4.97297,40964.633
,,4.98198,40872.906
,,4.99099,40780.570
,,5.00000,40687.637
,,5.00901,40594.113
,,5.01802,40500.000
,,5.02703,40405.316
,,5.03604,40310.062
,,5.04504,40214.254
,,5.05405,40117.891
,,5.06306,40020.988
,,5.07207,39923.551
,,5.08108,39825.590
,,5.09009,39727.105
,,5.09910,39628.117
,,5.10811,39528.629
,,5.11712,39428.652
,,5.12613,39328.184
,,5.13514,39227.246
,,5.14414,39125.844
,,5.15315,39023.984
,,5.16216,38921.668
,,5.17117,38818.918
,,5.18018,38715.734
,,5.18919,38612.129
,,5.19820,38508.105
,,5.20721,38403.680
,,5.21622,38298.855
,,5.22523,38193.637
,,5.23423,38088.043
,,5.24324,37982.074
,,5.25225,37875.746
,,5.26126,37769.059
,,5.27027,37662.027
,,5.27928,37554.660
,,5.28829,37446.965
,,5.29730,37338.941
,,5.30631,37230.613
,,5.31532,37121.984
,,5.32432,37013.059
,,5.33333,36903.840
,,5.34234,36794.352
,,5.35135,36684.590
,,5.36036,36574.574
,,5.36937,36464.297
,,5.37838,36353.781
,,5.38739,36243.031
,,5.39640,36132.055
,,5.40541,36020.855
,,5.41441,35909.453
,,5.42342,35797.848
,,5.43243,35686.043
,,5.44144,35574.059
,,5.45045,35461.902
,,5.45946,35349.574
,,5.46847,35237.082
,,5.47748,35124.441
,,5.48649,35011.660
,,5.49550,34898.746
,,5.50450,34785.695
,,5.51351,34672.531
,,5.52252,34559.262
,,5.53153,34445.887
,,5.54054,34332.410
,,5.54955,34218.852
,,5.55856,34105.219
,,5.56757,33991.512
,,5.57658,33877.738
,,5.58559,33763.914
,,5.59459,33650.047
,,5.60360,33536.129
,,5.61261,33422.191
,,5.62162,33308.227
,,5.63063,33194.246
,,5.63964,33080.250
,,5.64865,32966.262
,,5.65766,32852.277
,,5.66667,32738.309
,,5.67568,32624.355
,,5.68468,32510.438
,,5.69369,32396.555
,,5.70270,32282.717
,,5.71171,32168.924
,,5.72072,32055.195
,,5.72973,31941.531
,,5.73874,31827.939
,,5.74775,31714.422
,,5.75676,31600.998
,,5.76577,31487.666
,,5.77477,31374.434
,,5.78378,31261.305
,,5.79279,31148.295
,,5.80180,31035.406
,,5.81081,30922.639
,,5.81982,30810.010
,,5.82883,30697.523
,,5.83784,30585.186
,,5.84685,30472.992
,,5.85586,30360.967
,,5.86486,30249.109
,,5.87387,30137.422
,,5.88288,30025.910
,,5.89189,29914.588
,,5.90090,29803.457
,,5.90991,29692.525
,,5.91892,29581.789
,,5.92793,29471.270
,,5.93694,29360.965
,,5.94595,29250.881
,,5.95496,29141.018
,,5.96396,29031.395
,,5.97297,28922.008
,,5.98198,28812.865
,,5.99099,28703.967
,,6.00000,28595.328
,,6.00901,28486.951
,,6.01802,28378.832
,,6.02703,28270.990
,,6.03604,28163.424
,,6.04504,28056.139
,,6.05405,27949.135
,,6.06306,27842.426
,,6.07207,27736.014
,,6.08108,27629.902
,,6.09009,27524.092
,,6.09910,27418.598
,,6.10811,27313.416
,,6.11712,27208.557
,,6.12613,27104.016
,,6.13514,26999.807
,,6.14414,26895.934
,,6.15315,26792.396
,,6.16216,26689.195
,,6.17117,26586.346
,,6.18018,26483.848
,,6.18919,26381.701
,,6.19820,26279.910
,,6.20721,26178.484
,,6.21622,26077.426
,,6.22523,25976.730
,,6.23423,25876.416
,,6.24324,25776.477
,,6.25225,25676.920
,,6.26126,25577.740
,,6.27027,25478.955
,,6.27928,25380.561
,,6.28829,25282.562
,,6.29730,25184.955
,,6.30631,25087.754
,,6.31532,24990.957
,,6.32432,24894.568
,,6.33333,24798.584
,,6.34234,24703.018
,,6.35135,24607.869
,,6.36036,24513.137
,,6.36937,24418.824
,,6.37838,24324.939
,,6.38739,24231.480
,,6.39640,24138.453
,,6.40541,24045.852
,,6.41441,23953.691
,,6.42342,23861.967
,,6.43243,23770.676
,,6.44144,23679.832
,,6.45045,23589.432
,,6.45946,23499.477
,,6.46847,23409.965
,,6.47748,23320.908
,,6.48649,23232.303
,,6.49550,23144.150
,,6.50450,23056.449
,,6.51351,22969.211
,,6.52252,22882.430
,,6.53153,22796.109
,,6.54054,22710.246
,,6.54955,22624.852
,,6.55856,22539.922
,,6.56757,22455.459
,,6.57658,22371.459
,,6.58559,22287.932
,,6.59459,22204.875
,,6.60360,22122.283
,,6.61261,22040.170
,,6.62162,21958.531
,,6.63063,21877.365
,,6.63964,21796.670
,,6.64865,21716.457
,,6.65766,21636.719
,,6.66667,21557.459
,,6.67568,21478.674
,,6.68468,21400.373
,,6.69369,21322.551
,,6.70270,21245.209
,,6.71171,21168.344
,,6.72072,21091.963
,,6.72973,21016.064
,,6.73874,20940.648
,,6.74775,20865.711
,,6.75676,20791.258
,,6.76577,20717.289
,,6.77477,20643.803
,,6.78378,20570.795
,,6.79279,20498.273
,,6.80180,20426.234
,,6.81081,20354.676
,,6.81982,20283.604
,,6.82883,20213.014
,,6.83784,20142.904
,,6.84685,20073.275
,,6.85586,20004.131
,,6.86486,19935.469
,,6.87387,19867.287
,,6.88288,19799.582
,,6.89189,19732.361
,,6.90090,19665.621
,,6.90991,19599.359
,,6.91892,19533.572
,,6.92793,19468.268
,,6.93694,19403.439
,,6.94595,19339.088
,,6.95496,19275.209
,,6.96396,19211.807
,,6.97297,19148.881
,,6.98198,19086.428
,,6.99099,19024.443
,,7.00000,18962.934
,,7.00901,18901.893
,,7.01802,18841.320
,,7.02703,18781.219
,,7.03604,18721.584
,,7.04504,18662.416
,,7.05405,18603.711
,,7.06306,18545.471
,,7.07207,18487.695
,,7.08108,18430.379
,,7.09009,18373.521
,,7.09910,18317.125
,,7.10811,18261.186
,,7.11712,18205.701
,,7.12613,18150.670
,,7.13514,18096.094
,,7.14414,18041.971
,,7.15315,17988.297
,,7.16216,17935.070
,,7.17117,17882.291
,,7.18018,17829.959
,,7.18919,17778.070
,,7.19820,17726.623
,,7.20721,17675.617
,,7.21622,17625.051
,,7.22523,17574.918
,,7.23423,17525.225
,,7.24324,17475.965
,,7.25225,17427.137
,,7.26126,17378.738
,,7.27027,17330.768
,,7.27928,17283.227
,,7.28829,17236.107
,,7.29730,17189.410
,,7.30631,17143.137
,,7.31532,17097.281
,,7.32432,17051.844
,,7.33333,17006.818
,,7.34234,16962.209
,,7.35135,16918.010
,,7.36036,16874.221
,,7.36937,16830.838
,,7.37838,16787.859
,,7.38739,16745.285
,,7.39640,16703.113
,,7.40541,16661.336
,,7.41441,16619.959
,,7.42342,16578.977
,,7.43243,16538.385
,,7.44144,16498.186
,,7.45045,16458.373
,,7.45946,16418.949
,,7.46847,16379.905
,,7.47748,16341.246
,,7.48649,16302.966
,,7.49550,16265.063
,,7.50450,16227.534
,,7.51351,16190.380
,,7.52252,16153.596
,,7.53153,16117.181
,,7.54054,16081.130
,,7.54955,16045.444
,,7.55856,16010.121
,,7.56757,15975.156
,,7.57658,15940.548
,,7.58559,15906.296
,,7.59459,15872.396
,,7.60360,15838.845
,,7.61261,15805.644
,,7.62162,15772.788
,,7.63063,15740.275
,,7.63964,15708.102
,,7.64865,15676.270
,,7.65766,15644.773
,,7.66667,15613.610
,,7.67568,15582.778
,,7.68468,15552.277
,,7.69369,15522.104
,,7.70270,15492.254
,,7.71171,15462.726
,,7.72072,15433.519
,,7.72973,15404.629
,,7.73874,15376.056
,,7.74775,15347.793
,,7.75676,15319.844
,,7.76577,15292.202
,,7.77477,15264.866
,,7.78378,15237.833
,,7.79279,15211.103
,,7.80180,15184.672
,,7.81081,15158.535
,,7.81982,15132.695
,,7.82883,15107.147
,,7.83784,15081.889
,,7.84685,15056.917
,,7.85586,15032.231
,,7.86486,15007.828
,,7.87387,14983.706
,,7.88288,14959.861
,,7.89189,14936.293
,,7.90090,14912.998
,,7.90991,14889.976
,,7.91892,14867.221
,,7.92793,14844.733
,,7.93694,14822.511
,,7.94595,14800.550
