Freq (Hz)	PSD/Measured Spectrum: Power CH2 (Vrms/rtHz)	Freq Response Module (Vrms)	Freq Response Im part (Unitless Power)
1.000000E+1	1.583956E-2	2.782710E+0	-1.599747E+0
1.011250E+1	1.586871E-2	1.815550E+0	-7.427092E-1
1.022500E+1	1.708851E-2	1.150849E+0	-1.108293E+0
1.033750E+1	2.078702E-2	1.973209E+0	-1.305096E+0
1.045000E+1	1.526856E-2	1.330257E+0	-7.208853E-1
1.056250E+1	1.958508E-2	1.446419E+0	-1.096398E+0
1.067500E+1	1.937858E-2	1.684271E+0	-1.279661E+0
1.078750E+1	1.565544E-2	1.431794E+0	-7.391218E-1
1.090000E+1	2.030679E-2	1.704622E+0	-1.130408E+0
1.101250E+1	2.033464E-2	1.590330E+0	-5.342028E-1
1.112500E+1	1.813812E-2	8.499033E-1	-6.354283E-1
1.123750E+1	1.797621E-2	9.962683E-1	-6.737201E-1
1.135000E+1	1.469718E-2	1.392391E+0	-1.061869E+0
1.146250E+1	1.624603E-2	1.057193E+0	-8.475354E-1
1.157500E+1	1.792863E-2	1.368035E+0	-7.729989E-1
1.168750E+1	1.955924E-2	1.174872E+0	-8.227141E-1
1.180000E+1	2.157611E-2	1.214508E+0	-5.297776E-1
1.191250E+1	1.898033E-2	1.358333E+0	-8.895817E-1
1.202500E+1	1.772033E-2	1.284855E+0	-6.368213E-1
1.213750E+1	2.131273E-2	1.024246E+0	-6.599957E-1
1.225000E+1	1.735306E-2	1.040039E+0	-2.843135E-1
1.236250E+1	1.755275E-2	1.524549E+0	-1.201286E+0
1.247500E+1	2.020157E-2	2.563947E+0	-1.160362E+0
1.258750E+1	2.031651E-2	7.600847E-1	-6.014338E-2
1.270000E+1	1.631664E-2	1.375903E+0	-7.297455E-1
1.281250E+1	2.006294E-2	1.637303E+0	-1.147683E+0
1.292500E+1	2.687633E-2	1.293768E+0	-4.100066E-1
1.303750E+1	1.807165E-2	1.612219E+0	-9.224027E-1
1.315000E+1	2.043064E-2	1.388637E+0	-1.138999E+0
1.326250E+1	2.218769E-2	1.302960E+0	-4.412204E-1
1.337500E+1	2.184959E-2	1.420443E+0	-1.167177E+0
1.348750E+1	1.961226E-2	1.938302E+0	-1.475164E+0
1.360000E+1	1.753309E-2	1.986955E+0	-1.102173E+0
1.371250E+1	1.995644E-2	2.023568E+0	-3.163895E-1
1.382500E+1	2.028944E-2	1.284700E+0	8.617024E-2
1.393750E+1	2.598295E-2	7.503315E-1	-6.842899E-1
1.405000E+1	2.376861E-2	1.597872E+0	-1.471204E+0
1.416250E+1	2.125132E-2	2.027609E+0	-1.549962E+0
1.427500E+1	2.438381E-2	1.561813E+0	-7.685863E-1
1.438750E+1	2.493605E-2	7.482810E-1	-7.137790E-1
1.450000E+1	2.550581E-2	2.012186E+0	-1.309931E+0
1.461250E+1	2.264719E-2	1.241748E+0	-9.819919E-1
1.472500E+1	2.048882E-2	1.448105E+0	-1.281686E+0
1.483750E+1	2.095320E-2	1.740391E+0	-1.391655E+0
1.495000E+1	2.575899E-2	1.841209E+0	-1.710961E+0
1.506250E+1	2.653263E-2	1.935536E+0	-1.773887E+0
1.517500E+1	2.505492E-2	2.171457E+0	-1.813131E+0
1.528750E+1	2.913717E-2	1.952263E+0	-1.305407E+0
1.540000E+1	2.533243E-2	1.194151E+0	-1.154872E+0
1.551250E+1	2.725312E-2	1.670558E+0	-1.427912E+0
1.562500E+1	2.399170E-2	1.543658E+0	-7.740612E-1
1.573750E+1	2.200451E-2	1.715717E+0	-1.526275E+0
1.585000E+1	2.173078E-2	1.700465E+0	-1.590863E+0
1.596250E+1	2.384470E-2	2.462077E+0	-2.427688E+0
1.607500E+1	2.512862E-2	1.150806E+0	-1.052708E+0
1.618750E+1	2.710200E-2	1.443210E+0	-9.914083E-1
1.630000E+1	2.605750E-2	7.519920E-1	-7.519633E-1
1.641250E+1	2.776850E-2	2.286727E+0	-2.028370E+0
1.652500E+1	2.638701E-2	1.763628E+0	-1.441504E+0
1.663750E+1	2.338732E-2	1.742787E+0	-1.586703E+0
1.675000E+1	2.757595E-2	1.796260E+0	-1.466578E+0
1.686250E+1	2.695300E-2	1.844599E+0	-1.503689E+0
1.697500E+1	2.877705E-2	1.864322E+0	-1.102938E+0
1.708750E+1	2.245032E-2	1.303294E+0	-8.720618E-1
1.720000E+1	2.343624E-2	1.509046E+0	-1.029938E+0
1.731250E+1	2.469853E-2	1.641202E+0	-1.619654E+0
1.742500E+1	2.396780E-2	1.516526E+0	-1.485715E+0
1.753750E+1	2.541441E-2	1.924093E+0	-1.907660E+0
1.765000E+1	2.521361E-2	1.850632E+0	-1.677449E+0
1.776250E+1	2.705503E-2	1.532389E+0	-1.531176E+0
1.787500E+1	2.532113E-2	1.066566E+0	-1.062116E+0
1.798750E+1	3.078993E-2	1.145592E+0	-1.137694E+0
1.810000E+1	2.470438E-2	1.062675E+0	-9.849705E-1
1.821250E+1	2.488677E-2	1.788476E+0	-1.786826E+0
1.832500E+1	3.033988E-2	2.402804E+0	-2.351658E+0
1.843750E+1	2.694308E-2	1.595956E+0	-1.588933E+0
1.855000E+1	2.891474E-2	1.274419E+0	-1.221988E+0
1.866250E+1	2.440608E-2	2.113188E+0	-2.094983E+0
1.877500E+1	2.631542E-2	2.198496E+0	-2.067789E+0
1.888750E+1	2.488920E-2	1.993182E+0	-1.980912E+0
1.900000E+1	2.915458E-2	1.545332E+0	-1.543707E+0
1.911250E+1	2.663605E-2	1.591956E+0	-1.590330E+0
1.922500E+1	2.756494E-2	1.703544E+0	-1.689072E+0
1.933750E+1	2.384887E-2	8.302271E-1	-8.155397E-1
1.945000E+1	2.570348E-2	9.695778E-1	-9.571762E-1
1.956250E+1	2.528632E-2	1.947227E+0	-1.924626E+0
1.967500E+1	2.718027E-2	1.526132E+0	-1.419165E+0
1.978750E+1	2.219054E-2	1.529847E+0	-1.496959E+0
1.990000E+1	2.790875E-2	1.913032E+0	-1.911999E+0
2.001250E+1	2.694925E-2	2.377705E+0	-2.370609E+0
2.012500E+1	3.458358E-2	2.129342E+0	-2.101945E+0
2.023750E+1	3.071656E-2	2.042698E+0	-1.952196E+0
2.035000E+1	3.072083E-2	1.747956E+0	-1.726833E+0
2.046250E+1	1.962538E-2	1.969626E+0	-1.871400E+0
2.057500E+1	2.575811E-2	1.190112E+0	-1.160138E+0
2.068750E+1	2.614637E-2	2.069831E+0	-1.919605E+0
2.080000E+1	2.409917E-2	1.291963E+0	-9.941576E-1
2.091250E+1	2.938912E-2	1.778415E+0	-1.588919E+0
2.102500E+1	2.401247E-2	1.652600E+0	-1.625439E+0
2.113750E+1	2.498824E-2	2.318740E+0	-2.147402E+0
2.125000E+1	2.599993E-2	2.169285E+0	-1.873326E+0
2.136250E+1	2.449616E-2	2.160413E+0	-1.772127E+0
2.147500E+1	1.842311E-2	6.093158E-1	-5.954875E-1
2.158750E+1	2.153063E-2	1.179283E+0	-1.137830E+0
2.170000E+1	2.730151E-2	1.768311E+0	-1.719350E+0
2.181250E+1	2.525703E-2	9.934507E-1	-9.690818E-1
2.192500E+1	2.767952E-2	1.187293E+0	-1.052718E+0
2.203750E+1	2.488265E-2	1.676794E+0	-1.016765E+0
2.215000E+1	2.444502E-2	1.256915E+0	-5.573565E-1
2.226250E+1	2.745909E-2	9.567259E-2	-9.116746E-2
2.237500E+1	2.145796E-2	9.950886E-1	-8.773159E-1
2.248750E+1	2.213133E-2	1.653162E+0	-1.646571E+0
2.260000E+1	2.639100E-2	1.357845E+0	-1.355667E+0
2.271250E+1	2.490813E-2	1.083346E+0	-1.025866E+0
2.282500E+1	1.958470E-2	1.997990E+0	-1.781006E+0
2.293750E+1	2.325418E-2	1.083667E+0	-9.471260E-1
2.305000E+1	2.643764E-2	9.023684E-1	-6.495618E-1
2.316250E+1	2.845345E-2	6.622061E-1	-5.869393E-1
2.327500E+1	1.992200E-2	1.027200E+0	-1.019779E+0
2.338750E+1	2.525811E-2	1.018823E+0	-8.958563E-1
2.350000E+1	2.069796E-2	1.380599E+0	-1.319882E+0
2.361250E+1	1.686914E-2	1.368391E+0	-1.193874E+0
2.372500E+1	2.254190E-2	9.332508E-1	-7.306635E-1
2.383750E+1	2.192954E-2	1.381774E+0	-5.957281E-1
2.395000E+1	2.041151E-2	1.084053E+0	-5.777525E-1
2.406250E+1	2.112082E-2	8.351109E-1	-5.071564E-1
2.417500E+1	1.824405E-2	8.627741E-1	-4.714346E-1
2.428750E+1	2.092853E-2	1.288085E+0	-1.133399E+0
2.440000E+1	1.871995E-2	1.740669E+0	-1.498363E+0
2.451250E+1	2.349086E-2	1.043424E+0	-8.805947E-1
2.462500E+1	2.039838E-2	1.076654E+0	-1.020606E+0
2.473750E+1	1.642234E-2	1.152357E+0	-7.474825E-1
2.485000E+1	1.855781E-2	1.120624E+0	-9.420357E-1
2.496250E+1	1.846238E-2	9.243938E-1	-7.347929E-1
2.507500E+1	2.182010E-2	1.012533E+0	-7.820038E-1
2.518750E+1	2.154344E-2	1.163808E+0	-1.154652E+0
2.530000E+1	1.900825E-2	1.528092E+0	-1.526942E+0
2.541250E+1	1.820272E-2	1.045591E+0	-1.039398E+0
2.552500E+1	1.730224E-2	1.254172E+0	-6.402105E-1
2.563750E+1	2.024121E-2	1.167450E+0	-9.223166E-1
2.575000E+1	2.150892E-2	1.329600E+0	-9.153458E-1
2.586250E+1	2.462051E-2	8.439198E-1	-5.914798E-1
2.597500E+1	1.773258E-2	1.532911E+0	-6.421530E-1
2.608750E+1	1.816578E-2	7.968217E-1	-5.901610E-1
2.620000E+1	1.953994E-2	7.473155E-1	-6.614450E-1
2.631250E+1	1.577513E-2	1.300325E+0	-9.229588E-1
2.642500E+1	1.659716E-2	1.478635E+0	-1.123198E+0
2.653750E+1	1.914454E-2	1.323626E+0	-1.136202E+0
2.665000E+1	1.754848E-2	1.253161E+0	-4.272640E-1
2.676250E+1	1.828476E-2	7.629364E-1	-5.788172E-1
2.687500E+1	1.310715E-2	9.212439E-1	-8.238765E-1
2.698750E+1	1.676527E-2	7.678558E-1	-7.371570E-1
2.710000E+1	1.636533E-2	5.635363E-1	-2.148915E-1
2.721250E+1	1.934892E-2	1.142841E+0	-7.519050E-2
2.732500E+1	1.789648E-2	7.120316E-1	-3.821492E-1
2.743750E+1	1.934356E-2	6.374428E-1	-3.358096E-1
2.755000E+1	1.511223E-2	5.778324E-1	-5.233138E-1
2.766250E+1	1.456952E-2	1.216551E+0	-9.896188E-1
2.777500E+1	1.895105E-2	8.298780E-1	-3.688751E-1
2.788750E+1	1.714182E-2	8.089271E-1	-2.852159E-1
2.800000E+1	1.569738E-2	6.617764E-1	-4.381423E-1
2.811250E+1	1.589661E-2	1.038124E+0	-7.071570E-1
2.822500E+1	1.749028E-2	7.589780E-1	-4.328777E-1
2.833750E+1	1.371376E-2	9.790210E-1	-7.570165E-1
2.845000E+1	1.408544E-2	9.662560E-1	-6.293554E-1
2.856250E+1	1.704681E-2	7.422103E-1	-5.189994E-1
2.867500E+1	1.537860E-2	4.848175E-1	-3.695571E-1
2.878750E+1	1.552655E-2	7.531951E-1	-6.421727E-1
2.890000E+1	1.529780E-2	6.752112E-1	-2.427037E-1
2.901250E+1	1.653619E-2	7.672507E-1	-1.861155E-1
2.912500E+1	1.552443E-2	5.206488E-1	-3.570625E-1
2.923750E+1	1.213403E-2	1.008167E+0	-4.529881E-1
2.935000E+1	1.663576E-2	1.133286E+0	-3.927298E-1
2.946250E+1	1.393231E-2	8.216811E-1	-3.902945E-1
2.957500E+1	1.302459E-2	1.166236E+0	-7.459393E-1
2.968750E+1	1.246439E-2	7.717506E-1	-5.536642E-2
2.980000E+1	1.341286E-2	4.089763E-1	-3.855888E-1
2.991250E+1	1.398951E-2	6.032902E-1	-2.277209E-1
3.002500E+1	1.478070E-2	8.864647E-1	-2.344635E-1
3.013750E+1	1.455558E-2	7.640758E-1	-2.088391E-1
3.025000E+1	1.362633E-2	9.111871E-1	-5.161579E-1
3.036250E+1	1.368689E-2	7.414360E-1	-1.876943E-1
3.047500E+1	1.190621E-2	8.133369E-1	-4.617062E-1
3.058750E+1	1.176876E-2	7.850476E-1	-2.103706E-1
3.070000E+1	1.287831E-2	5.064383E-1	-3.624562E-1
3.081250E+1	1.358921E-2	7.650639E-1	-6.224338E-1
3.092500E+1	1.438353E-2	1.087883E+0	-2.422770E-1
3.103750E+1	1.468926E-2	7.742993E-1	-4.002973E-1
3.115000E+1	1.168976E-2	8.237906E-1	-2.082929E-1
3.126250E+1	1.267890E-2	6.691595E-1	-2.422820E-1
3.137500E+1	1.242233E-2	3.363091E-1	-2.095807E-1
3.148750E+1	1.208427E-2	5.027336E-1	3.445762E-4
3.160000E+1	1.040294E-2	7.656966E-1	-5.251532E-1
3.171250E+1	1.177949E-2	7.678277E-1	-3.228635E-1
3.182500E+1	1.260378E-2	5.024274E-1	-1.987970E-2
3.193750E+1	1.367311E-2	9.128430E-1	-6.437957E-1
3.205000E+1	1.121721E-2	7.373498E-1	-4.172099E-1
