Freq (Hz)	PSD/Measured Spectrum: Power CH2 (Vrms/rtHz)	Freq Response Module (Vrms)	Freq Response Im part (Unitless Power)
1.000000E+1	1.468206E-2	1.914164E+0	-1.654218E+0
1.011250E+1	1.627719E-2	2.423001E+0	-5.009102E-1
1.022500E+1	1.856207E-2	1.457324E+0	8.586736E-1
1.033750E+1	1.938565E-2	7.211664E-1	-7.054318E-1
1.045000E+1	1.858890E-2	1.728358E+0	-1.572694E+0
1.056250E+1	1.677303E-2	1.473065E+0	8.214445E-2
1.067500E+1	1.509855E-2	1.245241E+0	-9.414129E-1
1.078750E+1	1.902808E-2	1.372649E+0	-1.147039E+0
1.090000E+1	2.234985E-2	1.021145E+0	-7.533595E-1
1.101250E+1	1.539875E-2	1.747533E+0	-7.982557E-1
1.112500E+1	1.876300E-2	1.062391E+0	-5.957845E-2
1.123750E+1	1.875168E-2	1.343203E+0	-9.839785E-1
1.135000E+1	2.275627E-2	6.273553E-1	-5.649613E-1
1.146250E+1	2.415412E-2	1.211480E+0	-1.055337E+0
1.157500E+1	2.016168E-2	1.504497E+0	-9.905553E-1
1.168750E+1	1.973750E-2	1.451462E+0	-9.913534E-1
1.180000E+1	2.370894E-2	1.542434E+0	-1.049122E+0
1.191250E+1	2.124937E-2	1.355248E+0	-7.689142E-1
1.202500E+1	2.045778E-2	2.308244E+0	-1.553820E+0
1.213750E+1	2.141103E-2	1.754367E+0	-9.968079E-1
1.225000E+1	1.962860E-2	1.415177E+0	-7.160408E-1
1.236250E+1	1.926304E-2	1.281460E+0	-8.318568E-1
1.247500E+1	2.389899E-2	1.132286E+0	-8.533171E-1
1.258750E+1	2.219383E-2	1.940405E+0	-1.523415E+0
1.270000E+1	2.021553E-2	1.868190E+0	-1.418787E+0
1.281250E+1	2.111229E-2	1.314419E+0	-8.536800E-1
1.292500E+1	2.366389E-2	1.946901E+0	-1.111105E+0
1.303750E+1	1.822155E-2	1.483081E+0	-7.742985E-1
1.315000E+1	2.498998E-2	1.603938E+0	-7.124820E-1
1.326250E+1	1.810439E-2	1.491824E+0	-4.949951E-1
1.337500E+1	2.203954E-2	8.155582E-1	-4.998190E-1
1.348750E+1	2.319423E-2	1.347624E+0	-5.697857E-1
1.360000E+1	2.235499E-2	1.528792E+0	-8.894660E-1
1.371250E+1	2.535048E-2	1.601465E+0	-1.372662E+0
1.382500E+1	2.006170E-2	1.305071E+0	-9.438658E-1
1.393750E+1	2.624364E-2	1.909771E+0	-1.527802E+0
1.405000E+1	2.067592E-2	2.266063E+0	-1.816679E+0
1.416250E+1	2.638386E-2	2.308031E+0	-1.453269E+0
1.427500E+1	1.890570E-2	2.180331E+0	-1.921093E+0
1.438750E+1	2.125353E-2	1.989813E+0	-1.794305E+0
1.450000E+1	2.662556E-2	1.839871E+0	-1.309434E+0
1.461250E+1	2.886450E-2	2.311517E+0	-1.845481E+0
1.472500E+1	1.999667E-2	1.315211E+0	-1.287715E+0
1.483750E+1	2.906463E-2	1.894413E+0	-1.718749E+0
1.495000E+1	2.960707E-2	1.674481E+0	-1.599171E+0
1.506250E+1	2.981248E-2	1.422107E+0	-1.364311E+0
1.517500E+1	3.048931E-2	2.243370E+0	-2.143607E+0
1.528750E+1	3.021948E-2	1.464720E+0	-1.133304E+0
1.540000E+1	2.630371E-2	1.488872E+0	-1.134594E+0
1.551250E+1	2.763421E-2	1.038180E+0	-9.327633E-1
1.562500E+1	2.694743E-2	1.746629E+0	-1.665759E+0
1.573750E+1	3.003494E-2	1.174290E+0	-1.036573E+0
1.585000E+1	3.240722E-2	1.841696E+0	-1.460512E+0
1.596250E+1	2.889564E-2	1.384940E+0	-1.373521E+0
1.607500E+1	2.980259E-2	1.236929E+0	-1.107305E+0
1.618750E+1	2.916038E-2	1.426615E+0	-1.267067E+0
1.630000E+1	3.089811E-2	1.463506E+0	-1.092361E+0
1.641250E+1	2.881766E-2	1.363871E+0	-6.714772E-1
1.652500E+1	2.212937E-2	1.089294E+0	-7.710196E-1
1.663750E+1	2.746531E-2	1.029593E+0	-1.025645E+0
1.675000E+1	3.070464E-2	1.665740E+0	-1.578857E+0
1.686250E+1	2.706885E-2	2.335913E+0	-2.235194E+0
1.697500E+1	2.761621E-2	1.906201E+0	-1.465842E+0
1.708750E+1	2.545211E-2	2.761009E+0	-2.696375E+0
1.720000E+1	2.804599E-2	1.268592E+0	-1.235355E+0
1.731250E+1	3.584419E-2	1.490669E+0	-1.212967E+0
1.742500E+1	2.596808E-2	2.054451E+0	-2.045844E+0
1.753750E+1	3.088533E-2	1.508128E+0	-1.474738E+0
1.765000E+1	2.730589E-2	1.936031E+0	-1.911283E+0
1.776250E+1	2.859232E-2	2.042368E+0	-2.040566E+0
1.787500E+1	2.992373E-2	1.869127E+0	-1.852529E+0
1.798750E+1	2.751878E-2	2.087555E+0	-2.021554E+0
1.810000E+1	2.786593E-2	1.667003E+0	-1.257958E+0
1.821250E+1	3.087436E-2	2.009702E+0	-1.997568E+0
1.832500E+1	2.850929E-2	2.345001E+0	-2.179538E+0
1.843750E+1	3.028102E-2	1.703733E+0	-1.507431E+0
1.855000E+1	3.344548E-2	1.731481E+0	-1.731481E+0
1.866250E+1	3.019141E-2	1.357058E+0	-1.328689E+0
1.877500E+1	3.358906E-2	2.188425E+0	-2.148955E+0
1.888750E+1	2.897210E-2	1.477349E+0	-1.474097E+0
1.900000E+1	2.683704E-2	2.333798E+0	-2.275291E+0
1.911250E+1	2.861141E-2	1.887770E+0	-1.886958E+0
1.922500E+1	3.409176E-2	1.338466E+0	-1.226548E+0
1.933750E+1	2.606533E-2	1.632011E+0	-1.548877E+0
1.945000E+1	3.513256E-2	2.361929E+0	-2.358673E+0
1.956250E+1	3.041458E-2	2.568651E+0	-2.533889E+0
1.967500E+1	3.455009E-2	1.759307E+0	-1.745399E+0
1.978750E+1	3.064969E-2	1.364765E+0	-1.238545E+0
1.990000E+1	2.796267E-2	1.934524E+0	-1.861098E+0
2.001250E+1	2.602733E-2	2.125519E+0	-2.113465E+0
2.012500E+1	2.789677E-2	1.550246E+0	-1.549751E+0
2.023750E+1	3.169766E-2	1.222473E+0	-1.213181E+0
2.035000E+1	3.120720E-2	1.471661E+0	-1.147746E+0
2.046250E+1	3.575083E-2	1.157121E+0	-6.798028E-1
2.057500E+1	2.874279E-2	1.586821E+0	-1.522805E+0
2.068750E+1	3.254369E-2	3.043709E-1	-2.249171E-1
2.080000E+1	3.084232E-2	1.488502E+0	-1.187501E+0
2.091250E+1	2.548042E-2	1.797405E+0	-1.698575E+0
2.102500E+1	2.808098E-2	1.419339E+0	-1.382779E+0
2.113750E+1	2.299258E-2	1.684495E+0	-1.560777E+0
2.125000E+1	2.758121E-2	1.127693E+0	-9.844576E-1
2.136250E+1	2.452812E-2	1.155747E+0	-7.194458E-1
2.147500E+1	2.376146E-2	2.378876E+0	-2.295456E+0
2.158750E+1	3.077344E-2	1.433552E+0	-1.221108E+0
2.170000E+1	2.577874E-2	1.480281E+0	-1.370500E+0
2.181250E+1	2.306907E-2	9.760923E-1	-9.757023E-1
2.192500E+1	2.930956E-2	1.264008E+0	-1.167620E+0
2.203750E+1	2.643036E-2	1.659885E+0	-1.481196E+0
2.215000E+1	2.741164E-2	1.588640E+0	-1.410251E+0
2.226250E+1	2.309579E-2	2.264369E+0	-1.250678E+0
2.237500E+1	2.326134E-2	1.731701E+0	-1.310309E+0
2.248750E+1	2.310681E-2	2.161171E+0	-1.530534E+0
2.260000E+1	2.582859E-2	1.299314E+0	-1.052001E+0
2.271250E+1	2.491533E-2	8.721327E-1	-8.117649E-1
2.282500E+1	1.965621E-2	1.524936E+0	-1.303295E+0
2.293750E+1	2.240346E-2	1.502219E+0	-1.134257E+0
2.305000E+1	2.341738E-2	1.894052E+0	-1.738848E+0
2.316250E+1	2.000524E-2	1.359311E+0	-9.016484E-1
2.327500E+1	2.284604E-2	1.664897E+0	-1.386316E+0
2.338750E+1	2.371129E-2	1.103949E+0	-7.615004E-1
2.350000E+1	2.511127E-2	9.616239E-1	-8.866086E-1
2.361250E+1	2.847403E-2	8.869592E-1	-6.926256E-1
2.372500E+1	2.759473E-2	1.615220E+0	-1.230718E+0
2.383750E+1	2.033979E-2	9.574535E-1	-6.139587E-1
2.395000E+1	2.365258E-2	7.381306E-1	-1.761917E-1
2.406250E+1	2.614415E-2	1.238786E+0	-7.702453E-1
2.417500E+1	2.318678E-2	1.254676E+0	-5.641343E-1
2.428750E+1	2.410277E-2	9.902403E-1	-5.113409E-1
2.440000E+1	1.987292E-2	7.653294E-1	-1.540846E-1
2.451250E+1	2.392589E-2	7.980340E-1	-4.457820E-1
2.462500E+1	2.016107E-2	7.316165E-1	-7.039636E-1
2.473750E+1	1.975854E-2	9.500657E-1	-7.180281E-1
2.485000E+1	1.781415E-2	1.165936E+0	-8.576149E-1
2.496250E+1	2.368194E-2	9.090444E-1	-6.829382E-1
2.507500E+1	2.496330E-2	1.126054E+0	-7.556556E-1
