Imposed Vibration Voltage - Volt	Average Gamma X - Unitless	Average Gamma S - Unitless	Step Time - Second	null 5	null 6	null 7	
2.00000000E+0	0.00000000E+0	1.44998557E-1	9.00199699E+0	0.00000000E+0	0.00000000E+0	0.00000000E+0
1.85000000E+0	0.00000000E+0	1.45130433E-1	3.41689028E+2	0.00000000E+0	0.00000000E+0	0.00000000E+0
1.70000000E+0	0.00000000E+0	1.45126012E-1	3.41139715E+2	0.00000000E+0	0.00000000E+0	0.00000000E+0
1.55000000E+0	0.00000000E+0	1.44994386E-1	3.85432610E+2	0.00000000E+0	0.00000000E+0	0.00000000E+0
1.40000000E+0	0.00000000E+0	1.45497160E-1	3.41347651E+2	0.00000000E+0	0.00000000E+0	0.00000000E+0
1.25000000E+0	0.00000000E+0	1.45896327E-1	3.41487992E+2	0.00000000E+0	0.00000000E+0	0.00000000E+0
1.10000000E+0	0.00000000E+0	1.45823740E-1	3.41132693E+2	0.00000000E+0	0.00000000E+0	0.00000000E+0
9.50000000E-1	0.00000000E+0	1.45882475E-1	3.41044621E+2	0.00000000E+0	0.00000000E+0	0.00000000E+0
8.00000000E-1	0.00000000E+0	1.44511888E-1	3.40866147E+2	0.00000000E+0	0.00000000E+0	0.00000000E+0
6.50000000E-1	0.00000000E+0	1.44645238E-1	3.42267480E+2	0.00000000E+0	0.00000000E+0	0.00000000E+0
5.00000000E-1	0.00000000E+0	1.44569655E-1	3.41792949E+2	0.00000000E+0	0.00000000E+0	0.00000000E+0
