Freq (Hz)	PSD/Measured Spectrum: Power CH2 (Vrms/rtHz)	Freq Response Module (Vrms)	Freq Response Im part (Unitless Power)
1.000000E+1	1.763698E-2	1.505960E+0	-1.496808E+0
1.011250E+1	1.838671E-2	1.908313E+0	-1.578138E+0
1.022500E+1	1.763969E-2	1.384305E+0	-2.384322E-2
1.033750E+1	1.999754E-2	2.780814E-1	-2.780813E-1
1.045000E+1	1.661359E-2	5.142710E-1	3.623711E-1
1.056250E+1	1.867018E-2	1.392950E+0	4.718367E-2
1.067500E+1	2.105089E-2	7.508486E-2	-5.264574E-2
1.078750E+1	1.757335E-2	1.003981E+0	-9.711061E-1
1.090000E+1	1.801374E-2	1.410421E+0	-1.405095E+0
1.101250E+1	1.558811E-2	4.812873E-1	-4.478403E-1
1.112500E+1	1.761564E-2	6.871574E-1	-6.705105E-1
1.123750E+1	1.794883E-2	1.117763E+0	-1.010372E+0
1.135000E+1	2.036508E-2	9.754428E-1	-9.524152E-1
1.146250E+1	2.102494E-2	6.878005E-1	4.121711E-1
1.157500E+1	2.189742E-2	2.018066E-1	9.260738E-3
1.168750E+1	1.501320E-2	5.272236E-1	-5.139242E-1
1.180000E+1	1.962120E-2	4.420021E-1	-4.021208E-2
1.191250E+1	2.094471E-2	6.220679E-1	-4.150661E-1
1.202500E+1	2.222452E-2	5.699823E-1	-4.242051E-1
1.213750E+1	1.719759E-2	3.166786E-1	2.724541E-2
1.225000E+1	1.559609E-2	5.555238E-1	-3.853751E-1
1.236250E+1	1.480510E-2	7.765627E-1	1.485779E-1
1.247500E+1	1.776423E-2	1.444745E+0	-1.432334E+0
1.258750E+1	1.625802E-2	6.713617E-1	-1.742171E-1
1.270000E+1	1.718430E-2	4.395715E-1	-4.323934E-1
1.281250E+1	1.782149E-2	1.118532E+0	-7.844741E-1
1.292500E+1	1.530597E-2	7.652970E-1	-5.155297E-1
1.303750E+1	2.031850E-2	5.431737E-1	-5.184367E-1
1.315000E+1	1.679127E-2	1.189643E+0	-1.188120E+0
1.326250E+1	1.890332E-2	9.168994E-1	-4.639148E-1
1.337500E+1	1.881822E-2	4.638904E-1	-4.549406E-1
1.348750E+1	1.231192E-2	9.446747E-1	-8.075746E-1
1.360000E+1	1.966620E-2	6.569641E-1	2.302022E-1
1.371250E+1	1.816744E-2	7.308466E-1	2.552417E-2
1.382500E+1	2.151241E-2	2.168157E-1	-3.554525E-2
1.393750E+1	1.806757E-2	1.046355E+0	-1.045911E+0
1.405000E+1	1.704753E-2	3.120624E-1	-2.863723E-1
1.416250E+1	2.334584E-2	6.774319E-1	-3.475762E-1
1.427500E+1	2.167630E-2	3.732829E-1	1.704726E-1
1.438750E+1	1.827120E-2	6.974059E-1	-2.997111E-2
1.450000E+1	2.085490E-2	5.198995E-1	-5.196576E-1
1.461250E+1	2.338622E-2	1.770656E-1	9.846751E-2
1.472500E+1	1.628151E-2	6.161997E-1	-3.722549E-1
1.483750E+1	2.471929E-2	1.299520E+0	-6.666060E-1
1.495000E+1	1.761496E-2	9.629428E-1	-9.314034E-1
1.506250E+1	2.413971E-2	2.299183E-1	-2.910111E-2
1.517500E+1	1.617748E-2	1.468703E-1	-1.041239E-1
1.528750E+1	1.734591E-2	6.441211E-1	-6.192520E-1
1.540000E+1	2.235859E-2	1.184871E+0	6.866280E-1
1.551250E+1	1.851545E-2	9.363121E-1	-4.902058E-1
1.562500E+1	2.147889E-2	7.469194E-1	6.930735E-1
1.573750E+1	1.870816E-2	5.439094E-1	-5.263485E-1
1.585000E+1	1.906298E-2	9.671640E-1	-6.315688E-1
1.596250E+1	2.169496E-2	1.305400E-1	-9.362563E-2
1.607500E+1	2.384417E-2	6.052982E-1	1.877479E-1
1.618750E+1	1.969481E-2	1.000678E+0	-7.670186E-1
1.630000E+1	2.410608E-2	8.457936E-1	-1.843681E-1
1.641250E+1	2.310541E-2	9.652486E-1	-5.158324E-1
1.652500E+1	2.041655E-2	3.796089E-1	2.069039E-1
1.663750E+1	2.474833E-2	1.339557E+0	3.458277E-1
1.675000E+1	2.265348E-2	1.561108E+0	-1.558771E+0
1.686250E+1	1.894148E-2	6.832190E-1	6.090314E-1
1.697500E+1	2.315531E-2	6.622911E-1	-3.678712E-1
1.708750E+1	1.799448E-2	1.585311E+0	-1.563046E+0
1.720000E+1	2.410068E-2	6.793039E-2	4.879011E-2
1.731250E+1	1.884189E-2	4.454938E-1	3.614310E-1
1.742500E+1	2.452685E-2	1.141676E+0	-7.842081E-1
1.753750E+1	2.584059E-2	3.455890E-1	3.651786E-2
1.765000E+1	1.749038E-2	7.166884E-1	-7.071037E-1
1.776250E+1	2.257880E-2	1.504008E+0	-1.218292E+0
1.787500E+1	1.912447E-2	1.575732E+0	-1.230476E+0
1.798750E+1	2.352976E-2	9.070282E-1	-8.713128E-1
1.810000E+1	2.054206E-2	1.045587E+0	8.564859E-1
1.821250E+1	2.640734E-2	8.958668E-1	-1.610922E-1
1.832500E+1	2.005888E-2	9.379157E-1	1.114949E-1
1.843750E+1	2.194203E-2	4.771444E-1	-3.943476E-1
1.855000E+1	2.179551E-2	7.321770E-1	-6.135796E-1
1.866250E+1	2.392073E-2	5.427400E-1	-5.427307E-1
