Distance_(pixels),Gray_Value,X_Fit:_Gaussian,Fit:_Gaussian
0,12940.667,0.00000,14555.498
1,18825.764,0.00701,14579.463
2,29755.820,0.01401,14603.604
3,40832.426,0.02102,14627.920
4,40333.281,0.02803,14652.413
5,31835.650,0.03504,14677.084
6,24400.932,0.04204,14701.933
7,18668.566,0.04905,14726.960
,,0.05606,14752.168
,,0.06306,14777.557
,,0.07007,14803.126
,,0.07708,14828.878
,,0.08408,14854.812
,,0.09109,14880.931
,,0.09810,14907.233
,,0.10511,14933.722
,,0.11211,14960.395
,,0.11912,14987.255
,,0.12613,15014.302
,,0.13313,15041.537
,,0.14014,15068.961
,,0.14715,15096.574
,,0.15415,15124.378
,,0.16116,15152.372
,,0.16817,15180.558
,,0.17518,15208.936
,,0.18218,15237.507
,,0.18919,15266.271
,,0.19620,15295.231
,,0.20320,15324.385
,,0.21021,15353.735
,,0.21722,15383.281
,,0.22422,15413.024
,,0.23123,15442.966
,,0.23824,15473.105
,,0.24525,15503.444
,,0.25225,15533.982
,,0.25926,15564.722
,,0.26627,15595.661
,,0.27327,15626.803
,,0.28028,15658.147
,,0.28729,15689.694
,,0.29429,15721.444
,,0.30130,15753.399
,,0.30831,15785.559
,,0.31532,15817.924
,,0.32232,15850.495
,,0.32933,15883.272
,,0.33634,15916.258
,,0.34334,15949.450
,,0.35035,15982.852
,,0.35736,16016.461
,,0.36436,16050.281
,,0.37137,16084.311
,,0.37838,16118.552
,,0.38539,16153.003
,,0.39239,16187.667
,,0.39940,16222.542
,,0.40641,16257.631
,,0.41341,16292.933
,,0.42042,16328.449
,,0.42743,16364.180
,,0.43443,16400.125
,,0.44144,16436.285
,,0.44845,16472.662
,,0.45546,16509.254
,,0.46246,16546.064
,,0.46947,16583.092
,,0.47648,16620.336
,,0.48348,16657.799
,,0.49049,16695.480
,,0.49750,16733.381
,,0.50450,16771.502
,,0.51151,16809.842
,,0.51852,16848.402
,,0.52553,16887.184
,,0.53253,16926.186
,,0.53954,16965.410
,,0.54655,17004.855
,,0.55355,17044.525
,,0.56056,17084.416
,,0.56757,17124.529
,,0.57457,17164.867
,,0.58158,17205.428
,,0.58859,17246.213
,,0.59560,17287.221
,,0.60260,17328.455
,,0.60961,17369.914
,,0.61662,17411.598
,,0.62362,17453.508
,,0.63063,17495.643
,,0.63764,17538.004
,,0.64464,17580.592
,,0.65165,17623.404
,,0.65866,17666.445
,,0.66567,17709.713
,,0.67267,17753.207
,,0.67968,17796.930
,,0.68669,17840.879
,,0.69369,17885.057
,,0.70070,17929.461
,,0.70771,17974.096
,,0.71471,18018.957
,,0.72172,18064.045
,,0.72873,18109.363
,,0.73574,18154.910
,,0.74274,18200.686
,,0.74975,18246.689
,,0.75676,18292.922
,,0.76376,18339.385
,,0.77077,18386.074
,,0.77778,18432.994
,,0.78478,18480.143
,,0.79179,18527.520
,,0.79880,18575.127
,,0.80581,18622.961
,,0.81281,18671.025
,,0.81982,18719.320
,,0.82683,18767.842
,,0.83383,18816.594
,,0.84084,18865.572
,,0.84785,18914.781
,,0.85485,18964.219
,,0.86186,19013.885
,,0.86887,19063.779
,,0.87588,19113.902
,,0.88288,19164.254
,,0.88989,19214.832
,,0.89690,19265.639
,,0.90390,19316.672
,,0.91091,19367.934
,,0.91792,19419.424
,,0.92492,19471.139
,,0.93193,19523.082
,,0.93894,19575.252
,,0.94595,19627.646
,,0.95295,19680.268
,,0.95996,19733.115
,,0.96697,19786.188
,,0.97397,19839.486
,,0.98098,19893.008
,,0.98799,19946.756
,,0.99499,20000.727
,,1.00200,20054.920
,,1.00901,20109.338
,,1.01602,20163.980
