Frame,Camera
1,1732278932.48044395
2,1732278932.53071594
3,1732278932.58098888
4,1732278932.63129902
5,1732278932.68155193
6,1732278932.73184299
7,1732278932.78211594
8,1732278932.83240700
9,1732278932.88267994
10,1732278932.93297100
11,1732278932.98322392
12,1732278933.03351593
13,1732278933.08378792
14,1732278933.13407898
15,1732278933.18435192
16,1732278933.23462391
17,1732278933.28489709
18,1732278933.33518791
19,1732278933.38547897
20,1732278933.43575096
21,1732278933.48602390
22,1732278933.53629589
23,1732278933.58660603
24,1732278933.63685989
25,1732278933.68717003
26,1732278933.73742294
27,1732278933.78769588
28,1732278933.83796811
29,1732278933.88825893
30,1732278933.93853211
31,1732278933.98882294
32,1732278934.03909612
33,1732278934.08936810
34,1732278934.13965893
35,1732278934.18993211
36,1732278934.24022293
37,1732278934.29049492
38,1732278934.34076810
39,1732278934.39105892
40,1732278934.44133091
41,1732278934.49160409
42,1732278934.54189491
43,1732278934.59214902
44,1732278934.64245796
45,1732278934.69273090
46,1732278934.74300289
47,1732278934.79329395
48,1732278934.84354806
49,1732278934.89385796
50,1732278934.94413090
51,1732278934.99440289
52,1732278935.04467511
53,1732278935.09494805
54,1732278935.14525795
55,1732278935.19552994
56,1732278935.24580312
57,1732278935.29607511
58,1732278935.34634805
59,1732278935.39663911
60,1732278935.44692993
61,1732278935.49718404
62,1732278935.54747510
63,1732278935.59774709
64,1732278935.64803791
65,1732278935.69832897
66,1732278935.74862099
67,1732278935.79889297
68,1732278935.84916592
69,1732278935.89945698
70,1732278935.94974804
71,1732278936.00000191
72,1732278936.05029297
73,1732278936.10056496
74,1732278936.15083790
75,1732278936.20110989
76,1732278936.25138307
77,1732278936.30165505
78,1732278936.35192800
79,1732278936.40221906
80,1732278936.45251012
81,1732278936.50278211
82,1732278936.55305505
83,1732278936.60332704
84,1732278936.65363693
85,1732278936.70392799
86,1732278936.75420094
87,1732278936.80447292
88,1732278936.85474491
89,1732278936.90501809
90,1732278936.95529008
91,1732278937.00556302
92,1732278937.05585408
93,1732278937.10610795
94,1732278937.15641809
95,1732278937.20669007
96,1732278937.25696301
97,1732278937.30723500
98,1732278937.35752606
99,1732278937.40781689
100,1732278937.45809007
