"id","frame","x [nm]","y [nm]","intensity [photon]","uncertainty_xy [nm]"
1,2,22303.9,680.703,14789.9,2.02848
2,2,6638.6,1006.16,11387.9,2.47121
3,2,36534.7,2212.19,5713.69,4.3286
4,2,33195,2438.11,3262.73,7.08132
5,2,9659.42,3497.01,5330.73,4.5932
6,2,37963.7,4191.54,7165.47,3.57937
7,2,43777.7,5382.17,11781.9,2.40738
8,2,32198.1,5306.94,8685.14,3.05954
9,2,12337.1,6720.59,10197.3,2.69304
10,2,7656.41,7405.46,21604.9,1.54666
11,2,31402.7,9235.84,6171.51,4.05487
12,2,2079.42,9284.39,7913.41,3.29909
13,2,15283.7,10859.7,5606.35,4.39917
14,2,2244.85,13455.9,8938.12,2.98981
15,2,15677.8,13914.9,7052.32,3.62685
16,2,13780.1,14184.6,7602.4,3.40907
17,2,10632.2,16292.2,13091,2.22195
18,2,5744.27,17000.6,7210.73,3.56079
19,2,23593,17635.3,11549.2,2.44457
20,2,8479.74,18257.2,6302.64,3.98369
21,2,18301.8,18515.3,4088.42,5.78838
22,2,1251.36,18842.4,15597.6,1.95066
23,2,22329.5,21094.9,2965.06,7.72288
24,2,42369.8,21498.5,4700.58,5.12123
25,2,39674.1,21830.2,9456.28,2.85837
26,2,49070,25025,11452.9,2.46039
27,2,37293.7,26715,7048.84,3.62833
28,2,47369.2,27064.3,10978.3,2.54227
29,2,45371.2,27302.2,7580.93,3.41699
30,2,24959.7,27782.9,6782.51,3.74634
31,2,29394.5,29330.6,5751.41,4.30443
32,2,20894.8,29777.1,6241.72,4.01639
33,2,32224.9,32210.2,8712.41,3.05183
34,2,3286.47,33725.3,7253.09,3.54361
35,2,35308.5,33958.1,5954.49,4.17945
36,2,24711.2,34633.6,12814.8,2.25804
37,2,43689.3,34849.8,5416.02,4.53106
38,2,23394.9,34798.2,11999.5,2.37386
39,2,48125.2,34907,9115.1,2.94328
40,2,46781.2,35030.5,11393.1,2.47034
41,2,2628.53,35961.7,3838.91,6.12081
42,2,1641.6,37194.9,5692.8,4.34213
43,2,4904.89,37445,4890.32,4.94807
44,2,5883.75,40254.5,6629.32,3.81843
45,2,3645.86,42191.4,7214.79,3.55913
46,2,49448.3,42187.5,4264.81,5.57667
47,2,5849.38,44180.7,7177.07,3.57458
48,2,35592,44983.3,6104.2,4.09257
49,2,3947.33,45218.1,10203.1,2.69184
50,2,27148.9,45415.3,2588.48,8.74492
51,2,40378.4,45996.8,6417.53,3.92368
52,2,28187.3,47031.8,8418.8,3.13736
53,2,5865.85,48523.5,13203.5,2.20766
54,2,778.046,49919.1,2781.12,8.18765
55,21,22306.6,673.219,15455.5,1.9638
56,21,6645.78,1009.47,10645.2,2.60395
57,21,36534,2241.71,6141.33,4.07167
58,21,33195.3,2419.18,3422.88,6.78209
59,21,9688.57,3503.23,6704.75,3.78253
60,21,37994.3,4167.38,7520,3.4397
61,21,43758,5371.1,12108,2.35758
62,21,32192.7,5305.31,9242.17,2.91094
63,21,12347.7,6725.75,9669.23,2.80833
64,21,7685.63,7354.08,21255.6,1.56424
65,21,31352.9,9236.8,6065.32,4.11473
66,21,2069.28,9288.96,7712.64,3.36909
67,21,15262.5,10894.7,6169.19,4.05615
68,21,2241.25,13453.1,9403.48,2.87112
69,21,15665,13894.9,7323.3,3.51555
70,21,13774.9,14186.3,7326.78,3.51418
71,21,10627.7,16284,13786.1,2.13728
72,21,5763.88,17006.6,6983.85,3.65631
73,21,23540.1,17668.7,11505.7,2.45169
74,21,8490.9,18268.4,6239.4,4.01765
75,21,18301.8,18523.2,3836.01,6.12492
76,21,1250.74,18871.1,15294.1,1.97898
77,21,22269.4,21100.3,2986.53,7.67235
78,21,42331.6,21504.8,4440.05,5.38287
79,21,39659.1,21840,9189.37,2.92427
80,21,49057.5,25023.2,10917.9,2.55318
81,21,37301.2,26714.7,7614.58,3.40459
82,21,47347.9,27036.5,10800.7,2.57469
83,21,45358.7,27301.2,7308.79,3.52131
84,21,24972.6,27806.7,6198.2,4.04014
85,21,29382.8,29295.4,6002.07,4.15137
86,21,20883.5,29777.4,6624.1,3.82095
87,21,32209.2,32207.1,8283.6,3.17873
88,21,3298.15,33731.1,7003,3.64801
89,21,35368.1,33969.9,5928.38,4.19504
90,21,24737.1,34642,11683.3,2.42297
91,21,43678.1,34849.1,4738.3,5.08572
92,21,23384.2,34765,11766.2,2.40984
93,21,48109.5,34895.5,9044.31,2.96168
94,21,46782.7,35027.3,11509.8,2.45102
95,21,2660.06,35943.6,3401.41,6.82058
96,21,1664.96,37185.7,5821.04,4.26061
97,21,4908.89,37433.9,5020.88,4.83645
98,21,5916.84,40247,7254.83,3.5429
99,21,3625.02,42225.6,7557.14,3.42581
100,21,49414.1,42165.7,4824.17,5.00691
101,21,5853.17,44235.1,7010.54,3.64476
102,21,35570.9,44955.3,5960.3,4.176
103,21,3970.68,45228.1,10248.9,2.68238
104,21,27163.9,45413,2464.89,9.14814
105,21,40350,46009,6072.86,4.11041
106,21,28185.3,47013.6,7976.07,3.27795
107,21,5858.75,48534.5,13321.9,2.19288
108,21,793.072,49916.5,2793.89,8.15342
109,22,22306.1,676.504,15182.2,1.9897
110,22,6647.79,982.043,10157.2,2.70137
111,22,36560.2,2235.72,5998.59,4.15341
112,22,33208.9,2438.09,3503.53,6.6417
113,22,9668.89,3510.83,7128.33,3.59479
114,22,37993.6,4173.38,7326.78,3.51418
115,22,43767,5386.39,11580,2.43957
116,22,32177.9,5319.09,9244.49,2.91036
117,22,12345.6,6727.33,9654.73,2.81168
118,22,7674.66,7375.12,21124.5,1.57098
119,22,31362.4,9237.04,6298.58,3.98585
120,22,2083.45,9279.13,7633.73,3.39759
121,22,15275.5,10861.3,5857.01,4.23837
122,22,2233.52,13446.5,9088.99,2.95004
123,22,15684.1,13914.7,7383.06,3.49209
124,22,13784.1,14189.7,7033.17,3.63503
125,22,10614.1,16269.2,13888.2,2.12552
126,22,5736.21,16999.9,6645.57,3.81063
127,22,23567.8,17686.3,11535.9,2.44675
128,22,8499.22,18245.7,6224.31,4.02585
129,22,18332,18530,3789.01,6.19251
130,22,1270.06,18837.2,15118.3,1.99588
131,22,22269.9,21098.8,2969.12,7.71327
132,22,42369.9,21531.7,4678.53,5.14226
133,22,39664.8,21840.7,9666.91,2.80887
134,22,49072.4,25044.5,10902.8,2.55592
135,22,37300.4,26721,7156.77,3.58297
136,22,47338.5,27064.4,10747.9,2.58453
137,22,45356.4,27289.4,7884.98,3.30879
138,22,24967.1,27800.8,6358.35,3.95433
139,22,29384.7,29299.3,5904.01,4.20972
140,22,20887.3,29771.4,6631.06,3.81759
141,22,32213.4,32220.1,8541.81,3.10082
142,22,3280.71,33759.2,6628.74,3.81871
143,22,35363.1,33945.4,5835.54,4.25161
144,22,24722.4,34632.5,11478.4,2.45617
145,22,43677,34806.6,4408.72,5.4164
146,22,23394.5,34782.3,11934.5,2.38375
147,22,48129.8,34903,8897.51,3.00074
148,22,46778.5,35032,11017.1,2.53531
149,22,2611.24,35994,3750.14,6.24968
150,22,1652.6,37190.2,5988.15,4.15954
151,22,4939.29,37435.1,5279.67,4.63134
152,22,5905.78,40237.5,7413.23,3.48038
153,22,3669.32,42199,6882.31,3.70107
154,22,49423,42209.3,4395.37,5.43083
155,22,5885.57,44208.2,7247.86,3.54571
156,22,35561.8,44976.5,5709.63,4.33123
157,22,3965.14,45223.7,10628.4,2.60716
158,22,27146.7,45438.6,2625.04,8.63291
159,22,40337.7,46011.7,6141.91,4.07134
160,22,28184.9,47043,8025.98,3.26134
161,22,5866.55,48548.8,13182.6,2.21029
162,22,800.892,49907.7,2827.54,8.06468
163,23,22302.7,678.137,15333.6,1.97524
164,23,6650.15,987.324,9988.95,2.73711
165,23,36558.9,2236.42,5826.26,4.25736
166,23,33227.7,2415.04,3376.46,6.86592
167,23,9671.48,3500.28,7146.9,3.58706
168,23,38009.8,4173.89,7214.79,3.55913
169,23,43785.9,5398.68,11831.8,2.39959
170,23,32197.6,5321.06,9372.73,2.87861
171,23,12334,6744.48,10113.7,2.7105
172,23,7680.68,7378.98,20842.5,1.58575
173,23,31337.7,9233.89,6372.85,3.94676
174,23,2068.51,9274.86,7850.74,3.32056
175,23,15270.5,10842.8,5942.89,4.18636
176,23,2243.44,13447.3,9361.12,2.88145
177,23,15683.9,13904.7,7193.32,3.56791
178,23,13772.8,14201.5,7111.51,3.60183
179,23,10628.1,16274.1,13567.9,2.16296
180,23,5758.88,17001.3,7113.25,3.6011
181,23,23598.6,17649.8,11530.7,2.4476
182,23,8503.13,18275.6,6233.59,4.0208
183,23,18305.7,18528.8,3891.14,6.04773
184,23,1247.51,18869.9,14987.8,2.00868
185,23,22284.1,21120.6,2889.05,7.9078
186,23,42381.7,21534.6,4502.14,5.3178
187,23,39680.6,21827.6,9458.6,2.85781
188,23,49072.5,25033,10729.9,2.58791
189,23,37321.4,26721.6,7084.23,3.61331
190,23,47358.1,27036.7,10604,2.61183
191,23,45395.9,27261.4,7395.25,3.48735
192,23,24970.6,27816.2,6215.6,4.0306
193,23,29414.5,29295.7,5999.17,4.15307
194,23,20883.9,29779.8,6222.57,4.0268
195,23,32214.5,32229.5,7893.1,3.30601
196,23,3300.19,33726.2,6991.4,3.65304
197,23,35366.1,33978.8,6029.35,4.13548
198,23,24732.2,34638.6,12233.9,2.33903
199,23,43688.8,34829.8,4315.88,5.51858
200,23,23389.2,34791.9,12406.8,2.31416
201,23,48120.9,34913.1,9279.89,2.90151
202,23,46789,35047.8,11645.6,2.429
203,23,2644.71,35987.9,3917.25,6.01191
204,23,1660.58,37204.1,5771.72,4.29154
205,23,4908.56,37457.5,4965.17,4.88336
206,23,5890.37,40250.3,7237.42,3.54994
207,23,3643.95,42197.2,7106.86,3.60378
208,23,49449.3,42166.6,4645.46,5.17416
209,23,5867.18,44208,7096.42,3.60817
210,23,35555.9,44966.9,5595.9,4.40618
211,23,3974.02,45216.6,10437.5,2.64434
212,23,27163.3,45427.1,2625.62,8.63115
213,23,40340.8,46034.9,5776.94,4.28824
214,23,28188.2,47024.9,7890.2,3.307
215,23,5874.04,48540,12666.2,2.27807
216,23,774.754,49905.2,3166.41,7.27578
217,41,22301.7,678.297,15353.9,1.97332
218,41,6633.04,1032.88,10954.5,2.54656
219,41,36565.5,2221.17,5993.95,4.15614
220,41,33218.8,2415.46,2630.84,8.61541
221,41,9696.7,3505.07,7390.02,3.48938
222,41,38003.4,4178.24,7103.96,3.60499
223,41,43765.6,5385.16,12192.1,2.34515
224,41,32201.3,5308.37,9632.1,2.81691
225,41,12330.2,6739.46,9225.93,2.91503
226,41,7687.28,7427.98,21561.4,1.54882
227,41,31348.9,9253.37,7004.74,3.64726
228,41,2072.67,9280.33,7819.99,3.33122
229,41,15296.8,10891.8,5486.23,4.48136
230,41,2250.53,13426.9,9265.38,2.90513
231,41,15686.6,13902.3,6593.35,3.83584
232,41,13761.2,14185.9,7459.65,3.46255
233,41,10617.5,16268.6,14198.1,2.09085
234,41,5749.58,16988.7,7196.22,3.56672
235,41,23557.2,17651,11520.2,2.44931
236,41,8485.33,18258.3,6124.51,4.08111
237,41,18298.5,18519.7,4380.28,5.44724
238,41,1246.48,18870.2,15705.5,1.94084
239,41,22269.4,21104.8,2605.31,8.69297
240,41,42377.4,21534.7,5008.11,4.84711
241,41,39684.8,21841.9,9364.6,2.8806
242,41,49094.9,25052.1,10468.8,2.63815
243,41,37322.7,26711.7,6372.85,3.94676
244,41,47352.7,27072.3,11049.1,2.52963
245,41,45385.2,27273.5,7601.81,3.40928
246,41,24975.9,27784,6156.42,4.06325
247,41,29393.5,29302.4,6017.16,4.14256
248,41,20894.5,29760.3,6406.51,3.92935
249,41,32210.7,32218.4,8160.59,3.21754
250,41,3310.37,33726.8,6958.9,3.66719
251,41,35335.6,33978.8,6280.01,3.99576
252,41,24736.8,34643.8,12629.7,2.28307
253,41,43676.2,34835.9,4657.06,5.16292
254,41,23390.6,34790.3,11537.6,2.44646
255,41,48124.7,34912.8,9072.74,2.95426
256,41,46807.2,35039.6,10610.4,2.61061
257,41,2662.89,35999.6,3754.78,6.24279
258,41,1655.41,37189.6,5467.09,4.49479
259,41,4904.32,37447.5,5161.88,4.72217
260,41,5911.6,40265.1,7144,3.58827
261,41,3649.5,42196.8,7244.38,3.54712
262,41,49449,42181.5,4535.21,5.28385
263,41,5876.02,44208.2,7310.53,3.52061
264,41,35606.7,44947.5,5951.59,4.18117
265,41,3956.95,45229.3,9287.43,2.89963
266,41,27156.2,45434.2,2500.86,9.02667
267,41,40345.2,46005,6100.72,4.09455
268,41,28202,47010.4,7749.2,3.35608
269,41,5860.4,48540.7,12808.4,2.25889
270,41,803.639,49915.6,2957.52,7.74081
271,42,22303.2,667.621,15257,1.98252
272,42,6620.05,1023.31,10823.3,2.5705
273,42,36539.7,2217.78,5775.78,4.28897
274,42,33242,2395.26,2646.51,8.56856
275,42,9683.41,3472.07,7480.54,3.4546
276,42,37979.1,4194.49,7198.54,3.56577
277,42,43774.8,5389.04,11885.2,2.39132
278,42,32189.4,5314.95,9444.1,2.8613
279,42,12324.3,6729.33,9717.98,2.79718
280,42,7683.29,7389.01,21765.6,1.53874
281,42,31374,9237.62,6821.96,3.72828
282,42,2061.76,9280.99,7763.12,3.35115
283,42,15303.4,10867,5342.91,4.5842
284,42,2213.99,13439.9,9329.79,2.88915
285,42,15685.6,13904.1,6611.33,3.82711
286,42,13770.2,14184.6,7571.06,3.42064
287,42,10603.6,16264.1,14073.9,2.10457
288,42,5736.82,16996.4,7429.48,3.47412
289,42,23577.7,17634.8,11375.7,2.47325
290,42,8492.08,18254.6,6268.41,4.00199
291,42,18305.1,18526.3,4227.68,5.61978
292,42,1217.49,18854.2,15922.6,1.92148
293,42,22263.6,21111,3015.54,7.6052
294,42,42376.7,21526.7,4922.23,4.92024
295,42,39679.8,21840.3,9334.43,2.888
296,42,49080.4,25048.8,10159.5,2.70089
297,42,37326.4,26709.8,5959.72,4.17634
298,42,47355.6,27035.1,10797.8,2.57523
299,42,45420,27270.3,7542.63,3.43122
300,42,24985.6,27794.3,6205.74,4.036
301,42,29409.7,29281.2,6137.85,4.07362
302,42,20903.4,29770,6482.52,3.89066
303,42,32219.1,32212.8,8295.79,3.17495
304,42,3288.25,33718.2,6626.42,3.81983
305,42,35367.7,33947.4,6037.47,4.13077
306,42,24716.8,34637,11801.6,2.40429
307,42,43674.6,34835.1,4744.68,5.07976
308,42,23392.9,34786.9,11615.4,2.43385
309,42,48138.2,34895.8,8757.67,3.03914
310,42,46802.3,35042.1,10515.8,2.62892
311,42,2676.07,35999.1,3692.11,6.33724
312,42,1668.2,37193.6,5318.54,4.60223
313,42,4908.88,37433.8,5605.77,4.39956
314,42,5878.54,40246.3,7252.51,3.54384
315,42,3655.15,42196.7,7120.79,3.59794
316,42,49441.7,42181.8,4672.73,5.14782
317,42,5872.67,44202.6,7167.21,3.57865
318,42,35559.7,44964.4,5617.95,4.39141
319,42,3962.53,45216.3,9723.78,2.79586
320,42,27156.7,45404.6,2500.28,9.0286
321,42,40303,46020.9,6169.77,4.05583
322,42,28178.8,47015.3,7889.62,3.3072
323,42,5859.6,48543.7,12984.2,2.23573
324,42,809.428,49895.1,3146.1,7.31829
