Distance_(pixels),Gray_Value,X_Fit:_Gaussian,Fit:_Gaussian
,,1.82182,35904.812
,,1.82883,35996.473
,,1.83584,36088.082
,,1.84284,36179.629
,,1.84985,36271.113
,,1.85686,36362.535
,,1.86386,36453.887
,,1.87087,36545.164
,,1.87788,36636.363
,,1.88488,36727.480
,,1.89189,36818.512
,,1.89890,36909.453
,,1.90591,37000.301
,,1.91291,37091.051
,,1.91992,37181.699
,,1.92693,37272.242
,,1.93393,37362.672
,,1.94094,37452.992
,,1.94795,37543.191
,,1.95495,37633.270
,,1.96196,37723.223
,,1.96897,37813.043
,,1.97598,37902.730
,,1.98298,37992.277
,,1.98999,38081.684
,,1.99700,38170.941
,,2.00400,38260.051
,,2.01101,38349.004
,,2.01802,38437.797
,,2.02503,38526.430
,,2.03203,38614.891
,,2.03904,38703.184
,,2.04605,38791.297
,,2.05305,38879.234
,,2.06006,38966.984
,,2.06707,39054.547
,,2.07407,39141.914
,,2.08108,39229.090
,,2.08809,39316.062
,,2.09510,39402.828
,,2.10210,39489.387
,,2.10911,39575.730
,,2.11612,39661.855
,,2.12312,39747.762
,,2.13013,39833.441
,,2.13714,39918.891
,,2.14414,40004.102
,,2.15115,40089.078
,,2.15816,40173.809
,,2.16517,40258.297
,,2.17217,40342.527
,,2.17918,40426.508
,,2.18619,40510.227
,,2.19319,40593.684
,,2.20020,40676.871
,,2.20721,40759.785
,,2.21421,40842.422
,,2.22122,40924.781
,,2.22823,41006.855
,,2.23524,41088.637
,,2.24224,41170.129
,,2.24925,41251.320
,,2.25626,41332.215
,,2.26326,41412.801
,,2.27027,41493.078
,,2.27728,41573.039
,,2.28428,41652.688
,,2.29129,41732.008
,,2.29830,41811.008
,,2.30531,41889.672
,,2.31231,41968.008
,,2.31932,42046.000
,,2.32633,42123.652
,,2.33333,42200.957
,,2.34034,42277.910
,,2.34735,42354.508
,,2.35435,42430.750
,,2.36136,42506.625
,,2.36837,42582.141
,,2.37538,42657.277
,,2.38238,42732.043
,,2.38939,42806.430
,,2.39640,42880.434
,,2.40340,42954.051
,,2.41041,43027.277
,,2.41742,43100.109
,,2.42442,43172.543
,,2.43143,43244.574
,,2.43844,43316.195
,,2.44545,43387.414
,,2.45245,43458.211
,,2.45946,43528.594
