Distance_(pixels),Gray_Value,X_Fit:_Gaussian,Fit:_Gaussian
0,18424.643,0.00000,17769.982
1,25566.971,0.00701,17813.846
2,38591.133,0.01401,17857.943
3,45088.105,0.02102,17902.275
4,43559.559,0.02803,17946.842
5,34497.176,0.03504,17991.643
6,21932.955,0.04204,18036.680
7,15775.857,0.04905,18081.951
,,0.05606,18127.459
,,0.06306,18173.205
,,0.07007,18219.186
,,0.07708,18265.402
,,0.08408,18311.857
,,0.09109,18358.549
,,0.09810,18405.479
,,0.10511,18452.646
,,0.11211,18500.053
,,0.11912,18547.695
,,0.12613,18595.578
,,0.13313,18643.699
,,0.14014,18692.059
,,0.14715,18740.658
,,0.15415,18789.496
,,0.16116,18838.572
,,0.16817,18887.891
,,0.17518,18937.447
,,0.18218,18987.244
,,0.18919,19037.281
,,0.19620,19087.557
,,0.20320,19138.074
,,0.21021,19188.832
,,0.21722,19239.828
,,0.22422,19291.066
,,0.23123,19342.545
,,0.23824,19394.264
,,0.24525,19446.225
,,0.25225,19498.424
,,0.25926,19550.865
,,0.26627,19603.547
,,0.27327,19656.469
,,0.28028,19709.631
,,0.28729,19763.035
,,0.29429,19816.678
,,0.30130,19870.562
,,0.30831,19924.688
,,0.31532,19979.053
,,0.32232,20033.656
,,0.32933,20088.502
,,0.33634,20143.588
,,0.34334,20198.914
,,0.35035,20254.479
,,0.35736,20310.283
,,0.36436,20366.326
,,0.37137,20422.609
,,0.37838,20479.133
,,0.38539,20535.895
,,0.39239,20592.895
,,0.39940,20650.133
,,0.40641,20707.609
,,0.41341,20765.324
,,0.42042,20823.275
,,0.42743,20881.467
,,0.43443,20939.893
,,0.44144,20998.557
,,0.44845,21057.457
,,0.45546,21116.594
,,0.46246,21175.965
,,0.46947,21235.572
,,0.47648,21295.416
,,0.48348,21355.494
,,0.49049,21415.805
,,0.49750,21476.352
,,0.50450,21537.131
,,0.51151,21598.143
,,0.51852,21659.389
,,0.52553,21720.865
,,0.53253,21782.574
,,0.53954,21844.514
,,0.54655,21906.684
,,0.55355,21969.086
,,0.56056,22031.717
,,0.56757,22094.576
,,0.57457,22157.664
,,0.58158,22220.979
,,0.58859,22284.523
,,0.59560,22348.293
,,0.60260,22412.289
,,0.60961,22476.510
,,0.61662,22540.957
,,0.62362,22605.627
,,0.63063,22670.520
,,0.63764,22735.637
,,0.64464,22800.977
,,0.65165,22866.537
,,0.65866,22932.316
,,0.66567,22998.316
,,0.67267,23064.537
,,0.67968,23130.975
,,0.68669,23197.631
,,0.69369,23264.502
,,0.70070,23331.590
,,0.70771,23398.893
,,0.71471,23466.410
,,0.72172,23534.141
,,0.72873,23602.082
,,0.73574,23670.236
,,0.74274,23738.602
,,0.74975,23807.176
,,0.75676,23875.959
,,0.76376,23944.949
,,0.77077,24014.146
,,0.77778,24083.551
,,0.78478,24153.158
,,0.79179,24222.969
,,0.79880,24292.984
,,0.80581,24363.199
,,0.81281,24433.615
,,0.81982,24504.230
,,0.82683,24575.045
,,0.83383,24646.057
,,0.84084,24717.264
,,0.84785,24788.666
,,0.85485,24860.262
,,0.86186,24932.051
,,0.86887,25004.029
,,0.87588,25076.199
,,0.88288,25148.559
,,0.88989,25221.105
,,0.89690,25293.838
,,0.90390,25366.756
,,0.91091,25439.857
,,0.91792,25513.141
,,0.92492,25586.605
,,0.93193,25660.252
,,0.93894,25734.076
,,0.94595,25808.076
,,0.95295,25882.254
,,0.95996,25956.604
,,0.96697,26031.127
,,0.97397,26105.822
,,0.98098,26180.688
,,0.98799,26255.723
,,0.99499,26330.922
,,1.00200,26406.289
,,1.00901,26481.818
,,1.01602,26557.512
,,1.02302,26633.365
,,1.03003,26709.379
,,1.03704,26785.551
