Imposed Vibration Voltage - Volt	Average Gamma X - Unitless	Average Gamma S - Unitless	Step Time - Second	null 5	null 6	null 7	
1.80000000E+0	0.00000000E+0	1.55755742E-1	1.61710043E+1	0.00000000E+0	0.00000000E+0	0.00000000E+0
1.65000000E+0	0.00000000E+0	1.49033744E-1	3.46066788E+2	0.00000000E+0	0.00000000E+0	0.00000000E+0
1.50000000E+0	0.00000000E+0	1.51066907E-1	3.41199908E+2	0.00000000E+0	0.00000000E+0	0.00000000E+0
1.35000000E+0	0.00000000E+0	1.48290253E-1	3.59557716E+2	0.00000000E+0	0.00000000E+0	0.00000000E+0
1.20000000E+0	0.00000000E+0	1.46482905E-1	3.42733059E+2	0.00000000E+0	0.00000000E+0	0.00000000E+0
1.05000000E+0	0.00000000E+0	1.46338672E-1	3.41437885E+2	0.00000000E+0	0.00000000E+0	0.00000000E+0
9.00000000E-1	0.00000000E+0	1.46538179E-1	3.41146643E+2	0.00000000E+0	0.00000000E+0	0.00000000E+0
7.50000000E-1	0.00000000E+0	1.46755566E-1	3.40995963E+2	0.00000000E+0	0.00000000E+0	0.00000000E+0
6.00000000E-1	0.00000000E+0	1.46669807E-1	3.41295157E+2	0.00000000E+0	0.00000000E+0	0.00000000E+0
4.50000000E-1	0.00000000E+0	1.46733076E-1	3.45729866E+2	0.00000000E+0	0.00000000E+0	0.00000000E+0
3.00000000E-1	0.00000000E+0	1.47111217E-1	3.41145506E+2	0.00000000E+0	0.00000000E+0	0.00000000E+0
1.50000000E-1	0.00000000E+0	1.46997330E-1	3.41032367E+2	0.00000000E+0	0.00000000E+0	0.00000000E+0
0.00000000E+0	0.00000000E+0	1.47784575E-1	3.40896462E+2	0.00000000E+0	0.00000000E+0	0.00000000E+0
