Imposed Vibration Voltage - Volt	Average Gamma X - Unitless	Average Gamma S - Unitless	Step Time - Second	null 5	null 6	null 7	
1.90000000E+0	0.00000000E+0	1.61123431E-1	1.43842072E+1	0.00000000E+0	0.00000000E+0	0.00000000E+0
1.80000000E+0	0.00000000E+0	1.52649356E-1	3.42501318E+2	0.00000000E+0	0.00000000E+0	0.00000000E+0
1.70000000E+0	0.00000000E+0	1.50882281E-1	3.41494506E+2	0.00000000E+0	0.00000000E+0	0.00000000E+0
1.60000000E+0	0.00000000E+0	1.50583380E-1	3.56792604E+2	0.00000000E+0	0.00000000E+0	0.00000000E+0
1.50000000E+0	0.00000000E+0	1.50313349E-1	3.41447911E+2	0.00000000E+0	0.00000000E+0	0.00000000E+0
1.40000000E+0	0.00000000E+0	1.49895454E-1	3.45059358E+2	0.00000000E+0	0.00000000E+0	0.00000000E+0
1.30000000E+0	0.00000000E+0	1.49436136E-1	3.41566100E+2	0.00000000E+0	0.00000000E+0	0.00000000E+0
1.20000000E+0	0.00000000E+0	1.48635718E-1	3.41364171E+2	0.00000000E+0	0.00000000E+0	0.00000000E+0
1.10000000E+0	0.00000000E+0	1.47971573E-1	3.41926763E+2	0.00000000E+0	0.00000000E+0	0.00000000E+0
1.00000000E+0	0.00000000E+0	1.47546796E-1	3.41202230E+2	0.00000000E+0	0.00000000E+0	0.00000000E+0
9.00000000E-1	0.00000000E+0	1.47982433E-1	3.41813450E+2	0.00000000E+0	0.00000000E+0	0.00000000E+0
8.00000000E-1	0.00000000E+0	1.47661484E-1	3.42825892E+2	0.00000000E+0	0.00000000E+0	0.00000000E+0
7.00000000E-1	0.00000000E+0	1.46866259E-1	3.41482755E+2	0.00000000E+0	0.00000000E+0	0.00000000E+0
6.00000000E-1	0.00000000E+0	1.46728678E-1	3.72268319E+2	0.00000000E+0	0.00000000E+0	0.00000000E+0
5.00000000E-1	0.00000000E+0	1.46510285E-1	3.41511256E+2	0.00000000E+0	0.00000000E+0	0.00000000E+0
4.00000000E-1	0.00000000E+0	1.46371289E-1	3.41364577E+2	0.00000000E+0	0.00000000E+0	0.00000000E+0
3.00000000E-1	0.00000000E+0	1.45850661E-1	3.45244421E+2	0.00000000E+0	0.00000000E+0	0.00000000E+0
2.00000000E-1	0.00000000E+0	1.46113644E-1	3.41516714E+2	0.00000000E+0	0.00000000E+0	0.00000000E+0
1.00000000E-1	0.00000000E+0	1.45481056E-1	3.41525773E+2	0.00000000E+0	0.00000000E+0	0.00000000E+0
-2.22044605E-16	0.00000000E+0	1.45455280E-1	3.41810203E+2	0.00000000E+0	0.00000000E+0	0.00000000E+0
